Date,GACGB3M_Open,GACGB3M_High,GACGB3M_Low,GACGB3M_Close,GACGB3M_SMAVG (50),GACGB3M_SMAVG (100),GACGB3M_SMAVG (200),GACGB2_Open,GACGB2_High,GACGB2_Low,GACGB2_Close,GACGB2_SMAVG (50),GACGB2_SMAVG (100),GACGB2_SMAVG (200),GACGB5_Open,GACGB5_High,GACGB5_Low,GACGB5_Close,GACGB5_SMAVG (50),GACGB5_SMAVG (100),GACGB5_SMAVG (200),GACGB10_Open,GACGB10_High,GACGB10_Low,GACGB10_Close,GACGB10_SMAVG (50),GACGB10_SMAVG (100),GACGB10_SMAVG (200),GACGB30_Open,GACGB30_High,GACGB30_Low,GACGB30_Close,GACGB30_SMAVG (50),GACGB30_SMAVG (100),GACGB30_SMAVG (200)
2000-01-04,,,,,,,,6.375,6.375,6.375,6.375,6.0137,5.7759,5.4034,6.81,6.81,6.81,6.81,6.4113,6.2285,5.9057,7.108,7.17,7.108,7.068,6.6753,6.5368,6.2179,,,,,,,
2000-01-05,,,,,,,,6.465,6.465,6.465,6.465,6.0216,5.7852,5.4112,6.908,6.908,6.908,6.908,6.4203,6.2373,5.9138,7.058,7.133,6.983,7.163,6.6832,6.5435,6.2266,,,,,,,
2000-01-06,,,,,,,,6.403,6.403,6.403,6.403,6.0283,5.7937,5.4184,6.865,6.865,6.865,6.865,6.4289,6.2449,5.9221,7.153,7.163,7.115,7.1,6.6902,6.5491,6.2347,,,,,,,
2000-01-07,,,,,,,,6.425,6.425,6.425,6.425,6.0343,5.8034,5.4257,6.88,6.88,6.88,6.88,6.4364,6.2534,5.9301,7.085,7.132,7.075,7.13,6.6967,6.556,6.2427,,,,,,,
2000-01-10,,,,,,,,6.525,6.525,6.525,6.525,6.0407,5.8145,5.4337,6.975,6.975,6.975,6.975,6.4444,6.2633,5.9387,7.078,7.128,7.053,7.158,6.7025,6.5634,6.2511,,,,,,,
2000-01-11,,,,,,,,6.63,6.63,6.63,6.63,6.0528,5.8272,5.4428,7.075,7.075,7.075,7.075,6.4578,6.2749,5.9475,7.138,7.193,7.133,7.255,6.713,6.5728,6.2605,,,,,,,
2000-01-12,,,,,,,,6.59,6.59,6.59,6.59,6.0663,5.8391,5.4514,7.06,7.06,7.06,7.06,6.4732,6.286,5.956,7.27,7.27,7.169,7.26,6.7257,6.5821,6.2694,,,,,,,
2000-01-13,,,,,,,,6.47,6.47,6.47,6.47,6.0761,5.8497,5.4594,6.93,6.93,6.93,6.93,6.4846,6.2958,5.9639,7.245,7.273,7.193,7.17,6.7359,6.5906,6.2778,,,,,,,
2000-01-14,,,,,,,,6.56,6.56,6.56,6.56,6.0893,5.8612,5.4677,7.02,7.02,7.02,7.02,6.4995,6.3065,5.9725,7.155,7.213,7.128,7.233,6.7492,6.5997,6.2862,,,,,,,
2000-01-17,,,,,,,,6.575,6.575,6.575,6.575,6.1009,5.8731,5.4763,7.033,7.033,7.033,7.033,6.5129,6.3175,5.9811,7.208,7.243,7.198,7.253,6.7617,6.6092,6.295,,,,,,,
2000-01-18,,,,,,,,6.63,6.63,6.63,6.63,6.1158,5.8857,5.485,7.098,7.098,7.098,7.098,6.5304,6.3293,5.9904,7.24,7.245,7.184,7.293,6.7777,6.6191,6.304,,,,,,,
2000-01-19,,,,,,,,6.54,6.54,6.54,6.54,6.1286,5.8985,5.4935,7.028,7.028,7.028,7.028,6.5462,6.3417,5.9994,7.278,7.278,7.218,7.265,6.7931,6.6305,6.313,,,,,,,
2000-01-20,,,,,,,,6.84,6.84,6.84,6.84,6.1468,5.9134,5.5041,7.11,7.11,7.11,7.11,6.5631,6.3541,6.0086,7.245,7.255,7.208,7.305,6.8088,6.6417,6.3231,,,,,,,
2000-01-21,,,,,,,,6.565,6.565,6.565,6.565,6.1595,5.9247,5.5133,7.05,7.05,7.05,7.05,6.5788,6.3647,6.0182,7.29,7.308,7.225,7.275,6.8237,6.6515,6.3329,,,,,,,
2000-01-24,,,,,,,,6.565,6.565,6.565,6.565,6.1724,5.936,5.5228,7.045,7.045,7.045,7.045,6.5943,6.3749,6.0276,7.295,7.313,7.238,7.258,6.8381,6.6605,6.3431,,,,,,,
2000-01-25,,,,,,,,6.563,6.563,6.563,6.563,6.1843,5.9469,5.532,7.043,7.043,7.043,7.043,6.6086,6.3846,6.0368,7.243,7.252,7.204,7.227,6.8505,6.669,6.3527,,,,,,,
2000-01-27,,,,,,,,6.528,6.528,6.528,6.82,6.2031,5.9603,5.5428,6.985,6.985,6.985,7.06,6.6249,6.3944,6.046,7.18,7.18,7.18,7.185,6.8636,6.6769,6.3624,,,,,,,
2000-01-28,,,,,,,,6.56,6.825,6.4,6.47,6.2169,5.9699,5.5519,7.02,7.05,6.86,6.955,6.6391,6.4028,6.0548,7.16,7.198,7.098,7.132,6.8777,6.6836,6.3718,,,,,,,
2000-01-31,,,,,,,,6.75,6.78,6.48,6.505,6.231,5.981,5.5608,6.53,7.025,6.53,6.995,6.6563,6.4128,6.0637,6.818,7.2,6.818,7.225,6.8936,6.6927,6.3813,,,,,,,
