Date,ADSWAP10_Open,ADSWAP10_High,ADSWAP10_Low,ADSWAP10_Close,ADSWAP10_SMAVG (50)  on Close,ADSWAP10_SMAVG (100)  on Close,ADSWAP10_SMAVG (200)  on Close,ADSWAP2_Open,ADSWAP2_High,ADSWAP2_Low,ADSWAP2_Close,ADSWAP2_SMAVG (50)  on Close,ADSWAP2_SMAVG (100)  on Close,ADSWAP2_SMAVG (200)  on Close,ADSWAP30_Open,ADSWAP30_High,ADSWAP30_Low,ADSWAP30_Close,ADSWAP30_SMAVG (50)  on Close,ADSWAP30_SMAVG (100)  on Close,ADSWAP30_SMAVG (200)  on Close,ADSWAP5_Open,ADSWAP5_High,ADSWAP5_Low,ADSWAP5_Close,ADSWAP5_SMAVG (50)  on Close,ADSWAP5_SMAVG (100)  on Close,ADSWAP5_SMAVG (200)  on Close
2000-01-03,7.495,7.65,7.48,7.64,7.1705,7.08025,6.7574,6.765,6.93,6.765,6.885,6.4781,6.28175,5.87687,,,,,,,,7.2375,7.2375,7.2375,7.2375,6.91976,6.77989,6.42993
2000-01-04,7.552,7.655,7.532,7.55,7.177,7.0851,6.76535,6.955,6.955,6.8,6.91,6.485,6.29075,5.88588,,,,,,,,7.395,7.405,7.287,7.35,6.92746,6.78714,6.43884
2000-01-05,7.635,7.57399,7.4625,7.58,7.1825,7.09145,6.77383,6.905,6.9225,6.78,6.91,6.4923,6.30055,5.89458,,,,,,,,7.31,7.326,7.2375,7.26,6.93206,6.79379,6.44734
2000-01-06,7.58,7.6225,7.47,7.56,7.1884,7.0983,6.78218,6.895,6.92,6.82,6.88,6.4981,6.3102,5.90338,,,,,,,,7.37,7.395,7.3,7.34,6.93732,6.80234,6.45631
2000-01-07,7.595,7.6025,7.546,7.59,7.1966,7.10475,6.7906,6.875,6.91,6.83,6.91,6.5058,6.321,5.91262,,,,,,,,7.345,7.385,7.34,7.355,6.94616,6.81037,6.46526
2000-01-10,7.54,7.63,7.54,7.615,7.20655,7.1113,6.79915,6.915,7.01,6.89,7.0,6.5179,6.33245,5.92217,,,,,,,,7.36,7.4,7.347,7.385,6.95776,6.81842,6.47436
2000-01-11,7.6075,7.74,7.6075,7.71,7.21875,7.11895,6.80828,7.005,7.07,6.95,7.045,6.5317,6.34355,5.932,,,,,,,,7.4,7.46,7.4,7.43,6.96906,6.82701,6.48381
2000-01-12,7.69099,7.722,7.6375,7.705,7.23215,7.1271,6.81833,7.035,7.035,6.95,7.025,6.5444,6.35465,5.94168,,,,,,,,7.4725,7.52,7.4275,7.4675,6.98256,6.83634,6.49425
2000-01-13,7.69,7.71199,7.605,7.62,7.24415,7.1357,6.82765,7.025,7.05,6.84,6.945,6.5573,6.36575,5.951,,,,,,,,7.4725,7.48,7.4475,7.4475,6.99635,6.84587,6.50438
2000-01-14,7.62,7.685,7.61399,7.68,7.25955,7.14465,6.83775,6.935,7.0,6.87,7.0,6.5703,6.3774,5.96055,,,,,,,,7.39,7.4675,7.42,7.445,7.01135,6.85615,6.51481
2000-01-17,7.6,7.71,7.668,7.645,7.2741,7.1535,6.84733,6.995,7.015,6.965,6.975,6.5847,6.3885,5.97017,,,,,,,,7.475,7.5,7.447,7.475,7.02705,6.86681,6.52527
