Date,CNCPIMOM_Last Price,CNCPIMOM_SMAVG (50),CNCPIMOM_SMAVG (100),CNCPIMOM_SMAVG (200),CNCPIYOY_Last Price,CNCPIYOY_SMAVG (50),CNCPIYOY_SMAVG (100),CNCPIYOY_SMAVG (200)
2000-01-31,,,,,-0.2,,,
2000-02-29,,,,,0.7,,,
2000-03-31,,,,,-0.2,,,
2000-04-30,,,,,-0.3,,,
2000-05-31,,,,,0.1,,,
2000-06-30,,,,,0.5,,,
2000-07-31,,,,,0.5,,,
2000-08-31,,,,,0.3,,,
2000-09-30,,,,,0.0,,,
2000-10-31,,,,,0.0,,,
2000-11-30,,,,,1.3,,,
2000-12-31,,,,,1.5,,,
2001-01-31,0.9,,,,1.2,,,
2001-02-28,0.1,,,,0.0,,,
2001-03-31,-0.6,,,,0.8,,,
2001-04-30,0.2,,,,1.6,,,
2001-05-31,-0.5,,,,1.7,,,
2001-06-30,-1.2,,,,1.4,,,
2001-07-31,-0.5,,,,1.5,,,
2001-08-31,0.1,,,,1.0,,,
2001-09-30,0.9,,,,-0.1,,,
2001-10-31,0.3,,,,0.2,,,
2001-11-30,-0.2,,,,-0.3,,,
2001-12-31,0.1,,,,-0.3,,,
2002-01-31,0.3,,,,-1.0,,,
2002-02-28,1.1,,,,0.0,,,
2002-03-31,-1.3,,,,-0.8,,,
2002-04-30,-0.3,,,,-1.3,,,
2002-05-31,-0.3,,,,-1.1,,,
2002-06-30,-0.9,,,,-0.8,,,
2002-07-31,-0.7,,,,-0.9,,,
2002-08-31,0.3,,,,-0.7,,,
2002-09-30,1.0,,,,-0.7,,,
2002-10-31,0.2,,,,-0.8,,,
2002-11-30,-0.1,,,,-0.7,,,
2002-12-31,0.3,,,,-0.4,-0.3,,
2003-01-31,1.1,,,,0.4,-0.3,,
2003-02-28,0.9,,,,0.2,-0.2,,
2003-03-31,-0.6,,,,0.9,-0.2,,
2003-04-30,-0.2,,,,1.0,-0.2,,
