Date,CHLRLPR1_Last Price,CHLRLPR1_SMAVG (50),CHLRLPR1_SMAVG (100),CHLRLPR1_SMAVG (200),CHLRLPR5_Last Price,CHLRLPR5_SMAVG (50),CHLRLPR5_SMAVG (100),CHLRLPR5_SMAVG (200)
2019-08-20,4.25,,,,4.85,,,
2019-09-20,4.2,,,,4.85,,,
2019-10-21,4.2,,,,4.85,,,
2019-11-20,4.15,,,,4.8,,,
2019-12-20,4.15,,,,4.8,,,
2020-01-20,4.15,,,,4.8,,,
2020-02-20,4.05,,,,4.75,,,
2020-03-20,4.05,,,,4.75,,,
2020-04-20,3.85,,,,4.65,,,
2020-04-30,,,,,4.65,,,
2020-05-20,3.85,,,,4.65,,,
2020-06-22,3.85,,,,4.65,,,
2020-07-20,3.85,,,,4.65,,,
2020-08-20,3.85,,,,4.65,,,
2020-09-21,3.85,,,,4.65,,,
2020-10-20,3.85,,,,4.65,,,
2020-11-20,3.85,,,,4.65,,,
2020-12-21,3.85,,,,4.65,,,
2021-01-20,3.85,,,,4.65,,,
2021-02-20,3.85,,,,4.65,,,
2021-03-22,3.85,,,,4.65,,,
2021-04-20,3.85,,,,4.65,,,
2021-05-20,3.85,,,,4.65,,,
2021-06-21,3.85,,,,4.65,,,
2021-07-20,3.85,,,,4.65,,,
2021-08-20,3.85,,,,4.65,,,
2021-09-22,3.85,,,,4.65,,,
2021-10-20,3.85,,,,4.65,,,
2021-11-22,3.85,,,,4.65,,,
2021-12-20,3.8,,,,4.65,,,
2022-01-20,3.7,,,,4.6,,,
2022-02-21,3.7,,,,4.6,,,
2022-03-21,3.7,,,,4.6,,,
2022-04-20,3.7,,,,4.6,,,
2022-05-20,3.7,,,,4.45,,,
2022-06-20,3.7,,,,4.45,,,
2022-07-20,3.7,,,,4.45,,,
2022-08-22,3.65,,,,4.3,,,
2022-09-20,3.65,,,,4.3,,,
2022-10-20,3.65,,,,4.3,,,
2022-11-21,3.65,,,,4.3,,,
2022-12-20,3.65,,,,4.3,,,
2023-01-20,3.65,,,,4.3,,,
2023-02-20,3.65,,,,4.3,,,
2023-03-20,3.65,,,,4.3,,,
2023-04-20,3.65,,,,4.3,,,
2023-05-22,3.65,,,,4.3,,,
2023-06-20,3.55,,,,4.2,,,
2023-07-20,3.55,,,,4.2,,,
2023-08-21,3.45,,,,4.2,4.56,,
2023-09-20,3.45,3.81,,,4.2,4.55,,
2023-10-20,3.45,3.79,,,4.2,4.54,,
2023-11-20,3.45,3.78,,,4.2,4.52,,
2023-12-20,3.45,3.76,,,4.2,4.51,,
2024-01-22,3.45,3.75,,,4.2,4.5,,
2024-02-20,3.45,3.73,,,3.95,4.48,,
2024-03-20,3.45,3.72,,,3.95,4.47,,
2024-04-22,3.45,3.71,,,3.95,4.45,,
2024-05-20,3.45,3.7,,,3.95,4.44,,
2024-06-20,3.45,3.69,,,3.95,4.42,,
2024-07-22,3.35,3.68,,,3.85,4.41,,
2024-08-20,3.35,3.67,,,3.85,4.39,,
2024-09-20,3.35,3.66,,,3.85,4.37,,
2024-10-21,3.1,3.64,,,3.6,4.35,,
