Date,SHIF1Y_Open,SHIF1Y_High,SHIF1Y_Low,SHIF1Y_Close,SHIF1Y_SMAVG (50)  on Close,SHIF1Y_SMAVG (100)  on Close,SHIF1Y_SMAVG (200)  on Close,SHIF3M_Open,SHIF3M_High,SHIF3M_Low,SHIF3M_Close,SHIF3M_SMAVG (50)  on Close,SHIF3M_SMAVG (100)  on Close,SHIF3M_SMAVG (200)  on Close
2006-10-08,2.9543,2.9543,2.9543,2.9543,,,,2.611,2.611,2.611,2.611,,,
2006-10-09,2.9549,2.9549,2.9549,2.9549,,,,2.6248,2.6248,2.6248,2.6248,,,
2006-10-10,2.9531,2.9531,2.9531,2.9531,,,,2.6325,2.6325,2.6325,2.6325,,,
2006-10-11,2.9559,2.9559,2.9559,2.9559,,,,2.6338,2.6338,2.6338,2.6338,,,
2006-10-12,2.955,2.955,2.955,2.955,,,,2.638,2.638,2.638,2.638,,,
2006-10-13,2.9543,2.9543,2.9543,2.9543,,,,2.642,2.642,2.642,2.642,,,
2006-10-16,2.9546,2.9546,2.9546,2.9546,,,,2.6459,2.6459,2.6459,2.6459,,,
2006-10-17,2.955,2.955,2.955,2.955,,,,2.6484,2.6484,2.6484,2.6484,,,
2006-10-18,2.956,2.956,2.956,2.956,,,,2.6483,2.6483,2.6483,2.6483,,,
2006-10-19,2.9556,2.9556,2.9556,2.9556,,,,2.6483,2.6483,2.6483,2.6483,,,
2006-10-20,2.9553,2.9553,2.9553,2.9553,,,,2.6482,2.6482,2.6482,2.6482,,,
2006-10-23,2.9552,2.9552,2.9552,2.9552,,,,2.648,2.648,2.648,2.648,,,
2006-10-24,2.9552,2.9552,2.9552,2.9552,,,,2.6481,2.6481,2.6481,2.6481,,,
2006-10-25,2.9552,2.9552,2.9552,2.9552,,,,2.648,2.648,2.648,2.648,,,
2006-10-26,2.9552,2.9552,2.9552,2.9552,,,,2.6479,2.6479,2.6479,2.6479,,,
2006-10-27,2.9556,2.9556,2.9556,2.9556,,,,2.6479,2.6479,2.6479,2.6479,,,
2006-10-30,2.9554,2.9554,2.9554,2.9554,,,,2.6479,2.6479,2.6479,2.6479,,,
2006-10-31,2.9554,2.9554,2.9554,2.9554,,,,2.6479,2.6479,2.6479,2.6479,,,
2006-11-01,2.9554,2.9554,2.9554,2.9554,,,,2.6479,2.6479,2.6479,2.6479,,,
2006-11-02,2.9554,2.9554,2.9554,2.9554,,,,2.6479,2.6479,2.6479,2.6479,,,
2006-11-03,2.9554,2.9554,2.9554,2.9554,,,,2.6479,2.6479,2.6479,2.6479,,,
2006-11-06,2.9566,2.9566,2.9566,2.9566,,,,2.6557,2.6557,2.6557,2.6557,,,
2006-11-07,2.9577,2.9577,2.9577,2.9577,,,,2.683,2.683,2.683,2.683,,,
2006-11-08,2.9597,2.9597,2.9597,2.9597,,,,2.7082,2.7082,2.7082,2.7082,,,
2006-11-09,2.9622,2.9622,2.9622,2.9622,,,,2.7236,2.7236,2.7236,2.7236,,,
2006-11-10,2.9652,2.9652,2.9652,2.9652,,,,2.7401,2.7401,2.7401,2.7401,,,
2006-11-13,2.9702,2.9702,2.9702,2.9702,,,,2.7551,2.7551,2.7551,2.7551,,,
2006-11-14,2.9772,2.9772,2.9772,2.9772,,,,2.7707,2.7707,2.7707,2.7707,,,
2006-11-15,2.9809,2.9809,2.9809,2.9809,,,,2.775,2.775,2.775,2.775,,,
2006-11-16,2.9831,2.9831,2.9831,2.9831,,,,2.7764,2.7764,2.7764,2.7764,,,
2006-11-17,2.9848,2.9848,2.9848,2.9848,,,,2.7774,2.7774,2.7774,2.7774,,,
2006-11-20,2.986,2.986,2.986,2.986,,,,2.7825,2.7825,2.7825,2.7825,,,
2006-11-21,2.9912,2.9912,2.9912,2.9912,,,,2.7895,2.7895,2.7895,2.7895,,,
2006-11-22,2.9939,2.9939,2.9939,2.9939,,,,2.7916,2.7916,2.7916,2.7916,,,
2006-11-23,2.9955,2.9955,2.9955,2.9955,,,,2.7952,2.7952,2.7952,2.7952,,,
2006-11-24,2.9968,2.9968,2.9968,2.9968,,,,2.8028,2.8028,2.8028,2.8028,,,
2006-11-27,2.9976,2.9976,2.9976,2.9976,,,,2.8018,2.8018,2.8018,2.8018,,,
2006-11-28,2.9984,2.9984,2.9984,2.9984,,,,2.8023,2.8023,2.8023,2.8023,,,
2006-11-29,2.9992,2.9992,2.9992,2.9992,,,,2.8038,2.8038,2.8038,2.8038,,,
2006-11-30,2.9996,2.9996,2.9996,2.9996,,,,2.8054,2.8054,2.8054,2.8054,,,
2006-12-01,2.9998,2.9998,2.9998,2.9998,,,,2.8086,2.8086,2.8086,2.8086,,,
2006-12-04,3.0001,3.0001,3.0001,3.0001,,,,2.809,2.809,2.809,2.809,,,
2006-12-05,3.0006,3.0006,3.0006,3.0006,,,,2.8096,2.8096,2.8096,2.8096,,,
2006-12-06,3.0008,3.0008,3.0008,3.0008,,,,2.8093,2.8093,2.8093,2.8093,,,
2006-12-07,3.0008,3.0008,3.0008,3.0008,,,,2.8094,2.8094,2.8094,2.8094,,,
2006-12-08,3.001,3.001,3.001,3.001,,,,2.8096,2.8096,2.8096,2.8096,,,
2006-12-11,3.0012,3.0012,3.0012,3.0012,,,,2.8089,2.8089,2.8089,2.8089,,,
2006-12-12,3.0013,3.0013,3.0013,3.0013,,,,2.808,2.808,2.808,2.808,,,
