Date,CCSWO10_Open,CCSWO10_High,CCSWO10_Low,CCSWO10_Close,CCSWO10_SMAVG (50)  on Close,CCSWO10_SMAVG (100)  on Close,CCSWO10_SMAVG (200)  on Close,CCSWO2_Open,CCSWO2_High,CCSWO2_Low,CCSWO2_Close,CCSWO2_SMAVG (50)  on Close,CCSWO2_SMAVG (100)  on Close,CCSWO2_SMAVG (200)  on Close,CCSWO5_Open,CCSWO5_High,CCSWO5_Low,CCSWO5_Close,CCSWO5_SMAVG (50)  on Close,CCSWO5_SMAVG (100)  on Close,CCSWO5_SMAVG (200)  on Close,CCSWOC_Open,CCSWOC_High,CCSWOC_Low,CCSWOC_Close,CCSWOC_SMAVG (50)  on Close,CCSWOC_SMAVG (100)  on Close,CCSWOC_SMAVG (200)  on Close
2006-04-28,3.4482,3.4482,3.4482,3.4482,,,,2.5976,2.5976,2.5976,2.5976,,,,3.0949,3.0949,3.0949,3.0949,,,,2.085,2.085,2.085,2.085,,,
2006-05-08,3.3575,3.3575,3.3234,3.3234,,,,2.3541,2.3541,2.3541,2.5211,,,,2.7466,2.7466,2.7466,2.9023,,,,2.085,2.085,2.015,2.015,,,
2006-05-09,3.3234,3.3234,3.3234,3.3234,,,,2.5456,2.5456,2.5446,2.5446,,,,2.9267,2.9267,2.9267,2.9267,,,,2.015,2.015,2.015,2.015,,,
2006-05-10,3.3234,3.3409,3.3234,3.3409,,,,2.5446,2.5446,2.5211,2.5211,,,,2.9267,2.9345,2.9267,2.9345,,,,2.015,2.015,2.015,2.015,,,
2006-05-11,3.3409,3.3409,3.2941,3.2941,,,,2.5211,2.5525,2.5211,2.5525,,,,2.9345,2.9345,2.8827,2.8827,,,,2.015,2.045,2.015,2.045,,,
2006-05-12,3.2941,3.2941,3.2941,3.2941,,,,2.5525,2.5525,2.5485,2.5485,,,,2.8827,2.8827,2.8827,2.8827,,,,2.045,2.045,2.035,2.035,,,
2006-05-15,3.2687,3.2687,3.2687,3.2687,,,,2.5338,2.5338,2.5338,2.5338,,,,2.8621,2.8621,2.8621,2.8621,,,,,,,,,,
2006-05-16,3.2902,3.2902,3.2902,3.2902,,,,2.5142,2.5142,2.5142,2.5142,,,,2.8778,2.8778,2.8778,2.8778,,,,2.045,2.045,2.045,2.045,,,
2006-05-17,3.2902,3.3068,3.2902,3.3068,,,,2.5142,2.5368,2.5142,2.5368,,,,2.8778,2.9199,2.8778,2.9199,,,,2.045,2.045,2.045,2.045,,,
2006-05-18,3.3068,3.3536,3.3068,3.3536,,,,2.5368,2.5466,2.5368,2.5466,,,,2.9199,2.961,2.9199,2.961,,,,2.045,2.055,2.045,2.055,,,
2006-05-19,3.3536,3.3536,3.3536,3.3536,,,,2.5427,2.5427,2.5427,2.5427,,,,2.961,2.961,2.961,2.961,,,,2.055,2.055,2.055,2.055,,,
2006-05-22,3.3536,3.3536,3.3175,3.3175,,,,2.5427,2.5427,2.5319,2.5319,,,,2.961,2.961,2.9287,2.9287,,,,2.055,2.055,2.055,2.055,,,
2006-05-23,3.3136,3.3136,3.3136,3.3136,,,,2.5328,2.5328,2.5328,2.5328,,,,2.9179,2.9179,2.9179,2.9179,,,,2.067,2.067,2.067,2.067,,,
2006-05-24,3.3116,3.3116,3.3116,3.3116,,,,2.5319,2.5319,2.5319,2.5319,,,,2.9463,2.9463,2.9463,2.9463,,,,2.075,2.075,2.075,2.075,,,
2006-05-25,3.3155,3.3155,3.3155,3.3155,,,,2.5564,2.5564,2.5564,2.5564,,,,2.958,2.958,2.958,2.958,,,,2.105,2.105,2.105,2.105,,,
2006-05-26,3.3185,3.3185,3.3185,3.3185,,,,2.5456,2.5456,2.5456,2.5456,,,,2.9228,2.9228,2.9228,2.9228,,,,2.105,2.105,2.105,2.105,,,
2006-05-29,,,,,,,,2.3846,2.3846,2.3846,2.3846,,,,2.8504,2.8504,2.8504,2.8504,,,,,,,,,,
2006-05-30,3.3185,3.3185,3.3185,3.3185,,,,2.5534,2.5534,2.5534,2.5534,,,,2.9238,2.9238,2.9238,2.9238,,,,2.125,2.125,2.125,2.125,,,
2006-05-31,3.339,3.339,3.339,3.339,,,,2.5436,2.5682,2.5436,2.5682,,,,2.9658,2.9658,2.9658,2.9658,,,,2.125,2.125,2.125,2.125,,,
2006-06-01,3.2687,3.2687,3.2687,3.2687,,,,2.4779,2.4779,2.4779,2.4779,,,,2.8905,2.8905,2.869,2.869,,,,2.125,2.125,2.125,2.125,,,
2006-06-02,3.2853,3.2853,3.2853,3.2853,,,,2.5397,2.5397,2.5397,2.5397,,,,2.9893,2.9893,2.9893,2.9893,,,,2.11,2.11,2.11,2.11,,,
2006-06-05,3.2707,3.2707,3.2707,3.2707,,,,2.4769,2.4769,2.4769,2.4769,,,,2.9922,2.9922,2.9922,2.9922,,,,2.11,2.11,2.11,2.11,,,
2006-06-06,3.2736,3.2736,3.2736,3.2736,,,,2.5112,2.5112,2.5112,2.5112,,,,2.8651,2.8651,2.8651,2.8651,,,,2.145,2.145,2.145,2.145,,,
