Date,JYSOC_Open,JYSOC_High,JYSOC_Low,JYSOC_Close,JYSOC_SMAVG (50)  on Close,JYSOC_SMAVG (100)  on Close,JYSOC_SMAVG (200)  on Close,JYSO2_Open,JYSO2_High,JYSO2_Low,JYSO2_Close,JYSO2_SMAVG (50)  on Close,JYSO2_SMAVG (100)  on Close,JYSO2_SMAVG (200)  on Close,JYSO5_Open,JYSO5_High,JYSO5_Low,JYSO5_Close,JYSO5_SMAVG (50)  on Close,JYSO5_SMAVG (100)  on Close,JYSO5_SMAVG (200)  on Close,JYSO10_Open,JYSO10_High,JYSO10_Low,JYSO10_Close,JYSO10_SMAVG (50)  on Close,JYSO10_SMAVG (100)  on Close,JYSO10_SMAVG (200)  on Close,JYSO30_Open,JYSO30_High,JYSO30_Low,JYSO30_Close,JYSO30_SMAVG (50)  on Close,JYSO30_SMAVG (100)  on Close,JYSO30_SMAVG (200)  on Close
2002-03-15,0.0505,0.0505,0.0505,0.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-22,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-25,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-26,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-27,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-28,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-02,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-05,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-10,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-11,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-15,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-16,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-17,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-18,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-19,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-22,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-23,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-25,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-29,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-02,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-06,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-07,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-08,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-10,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-14,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-16,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-17,0.045,0.055,0.045,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-20,0.055,0.055,0.055,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-21,0.055,0.055,0.055,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-22,0.055,0.055,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-23,0.045,0.045,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-24,0.045,0.045,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-27,0.045,0.045,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-28,0.045,0.045,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-29,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-30,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
