Date,TI0001M_Ask Price,TI0001M_SMAVG (50),TI0001M_SMAVG (100),TI0001M_SMAVG (200),TI0003M_Ask Price,TI0003M_SMAVG (50),TI0003M_SMAVG (100),TI0003M_SMAVG (200),TI0006M_Ask Price,TI0006M_SMAVG (50),TI0006M_SMAVG (100),TI0006M_SMAVG (200),TI0012M_Ask Price,TI0012M_SMAVG (50),TI0012M_SMAVG (100),TI0012M_SMAVG (200)
2000-01-04,0.14,0.33927,0.21706,0.1752,0.18786,0.33027,0.24669,0.19705,0.23,0.27406,0.27125,0.24769,0.28571,0.2816,0.27834,0.28921
2000-01-05,0.13357,0.34007,0.21743,0.17464,0.18,0.32791,0.24722,0.19673,0.22786,0.27321,0.27088,0.24758,0.285,0.28189,0.27841,0.2887
2000-01-06,0.12286,0.34067,0.21769,0.17403,0.16929,0.32521,0.24764,0.19638,0.22643,0.27231,0.27049,0.24748,0.285,0.28214,0.27848,0.28819
2000-01-07,0.11714,0.34116,0.21791,0.17345,0.16571,0.32227,0.24806,0.19605,0.225,0.27139,0.27007,0.24741,0.285,0.2824,0.27854,0.28772
2000-01-11,0.11286,0.34157,0.2181,0.17287,0.16286,0.31914,0.24844,0.19575,0.22429,0.27041,0.26961,0.24738,0.28643,0.28266,0.27861,0.28728
2000-01-12,0.11357,0.342,0.2183,0.17233,0.17071,0.3161,0.24894,0.19552,0.225,0.26943,0.26916,0.24737,0.28714,0.28293,0.27867,0.28685
2000-01-13,0.11286,0.34243,0.21849,0.17183,0.17143,0.31287,0.24944,0.19531,0.22143,0.26831,0.26866,0.24737,0.28714,0.28316,0.27872,0.28643
2000-01-14,0.10714,0.34276,0.21864,0.17132,0.16929,0.30953,0.24994,0.19512,0.21786,0.26711,0.26811,0.24739,0.28714,0.28337,0.27876,0.286
2000-01-17,0.10643,0.34307,0.21877,0.17083,0.16857,0.30606,0.25044,0.19494,0.21571,0.26583,0.26753,0.2474,0.28714,0.28354,0.27879,0.28558
2000-01-18,0.10429,0.34334,0.21889,0.17036,0.16786,0.30253,0.25094,0.19479,0.215,0.26451,0.26695,0.24744,0.28786,0.28371,0.27884,0.28518
2000-01-19,0.10286,0.34359,0.21901,0.1699,0.16571,0.29891,0.25144,0.19465,0.21214,0.26316,0.26636,0.24747,0.285,0.28384,0.27887,0.28476
2000-01-20,0.09857,0.34374,0.21909,0.16943,0.16071,0.29519,0.25189,0.19448,0.20857,0.26173,0.26574,0.24748,0.28286,0.28393,0.27889,0.28432
2000-01-21,0.09714,0.34387,0.21917,0.16894,0.15714,0.29137,0.25231,0.1943,0.20571,0.26023,0.26509,0.24747,0.28214,0.28399,0.27889,0.28388
2000-01-24,0.09429,0.34394,0.21922,0.16847,0.15143,0.28734,0.25267,0.19412,0.2,0.2586,0.2644,0.24699,0.275,0.28389,0.27885,0.28337
2000-01-25,0.09071,0.34393,0.21924,0.16801,0.14286,0.28307,0.25295,0.19389,0.19286,0.25677,0.26364,0.2465,0.27143,0.28366,0.27877,0.28283
2000-01-26,0.08786,0.34386,0.21922,0.16753,0.13571,0.27861,0.25316,0.19364,0.18714,0.25479,0.26281,0.24596,0.26929,0.28334,0.27867,0.28228
2000-01-27,0.08643,0.34376,0.2192,0.16705,0.13357,0.27399,0.25336,0.19338,0.185,0.25267,0.26198,0.24542,0.26857,0.28293,0.27857,0.28172
2000-01-28,0.09357,0.3438,0.21911,0.16661,0.135,0.26927,0.25357,0.19313,0.18643,0.25053,0.26115,0.24488,0.26714,0.28243,0.27846,0.28116
2000-01-31,0.095,0.34387,0.21901,0.16618,0.13429,0.26443,0.25378,0.19287,0.185,0.24836,0.26031,0.24433,0.26786,0.28194,0.27837,0.2806
2000-02-01,0.095,0.34394,0.21894,0.16575,0.135,0.25953,0.25401,0.19262,0.185,0.24619,0.25948,0.2438,0.26786,0.28146,0.27829,0.28004
2000-02-02,0.09571,0.34403,0.21889,0.16535,0.13571,0.25463,0.25427,0.1924,0.18571,0.24403,0.25867,0.24329,0.26857,0.28099,0.27823,0.27948
2000-02-03,0.09571,0.34411,0.21884,0.16494,0.13571,0.24974,0.25454,0.19218,0.18571,0.2419,0.25787,0.24279,0.26929,0.28054,0.27819,0.27893
2000-02-04,0.09429,0.34417,0.21878,0.16453,0.135,0.24486,0.25479,0.19196,0.18357,0.23971,0.25707,0.24227,0.26857,0.28007,0.27815,0.27838
2000-02-07,0.09429,0.34423,0.21873,0.16412,0.135,0.23999,0.25505,0.19174,0.18286,0.2375,0.25627,0.24175,0.26786,0.27956,0.27811,0.27782
2000-02-08,0.095,0.3443,0.21869,0.16375,0.135,0.23513,0.25531,0.19153,0.18357,0.2353,0.25547,0.24126,0.26786,0.27904,0.27808,0.27728
2000-02-09,0.09429,0.34436,0.21864,0.1634,0.135,0.23026,0.25556,0.19134,0.18357,0.23309,0.25466,0.24077,0.26786,0.27849,0.27804,0.27674
2000-02-10,0.09429,0.34441,0.21859,0.16306,0.13429,0.22534,0.25581,0.19116,0.18357,0.23086,0.25386,0.24031,0.26786,0.27793,0.27799,0.27622
2000-02-14,0.09357,0.32997,0.21855,0.16275,0.13357,0.2204,0.25606,0.19099,0.18286,0.2286,0.25304,0.23984,0.26714,0.27729,0.27794,0.2757
2000-02-15,0.09357,0.31477,0.21851,0.16244,0.13429,0.21539,0.25632,0.19082,0.18286,0.22633,0.25221,0.23938,0.26714,0.27659,0.27787,0.27519
2000-02-16,0.09357,0.29923,0.21849,0.16213,0.13429,0.21029,0.25658,0.19066,0.18286,0.22404,0.25137,0.23894,0.26714,0.27589,0.2778,0.27469
2000-02-17,0.09357,0.28333,0.21846,0.16184,0.13429,0.20514,0.25684,0.19051,0.18286,0.22174,0.25054,0.23852,0.26714,0.27517,0.27773,0.27421
2000-02-18,0.09357,0.26734,0.21846,0.16156,0.13286,0.19996,0.25709,0.19037,0.18143,0.21939,0.24971,0.23809,0.26714,0.27443,0.27768,0.27374
2000-02-21,0.09286,0.25154,0.21845,0.16127,0.13214,0.19484,0.25735,0.19023,0.18071,0.21709,0.24889,0.23769,0.265,0.27373,0.27763,0.27327
2000-02-22,0.09214,0.23606,0.21844,0.16099,0.13214,0.18984,0.25761,0.19009,0.17929,0.21483,0.24804,0.23727,0.26429,0.27311,0.27756,0.27281
2000-02-23,0.09143,0.22133,0.21843,0.16073,0.13143,0.18519,0.25787,0.18996,0.17929,0.21276,0.24719,0.2369,0.26357,0.27263,0.27749,0.27237
2000-02-24,0.09286,0.20833,0.21843,0.16048,0.13143,0.1812,0.25813,0.18984,0.17857,0.21097,0.24632,0.23654,0.26286,0.27236,0.27742,0.27194
2000-02-25,0.1,0.20111,0.2185,0.16028,0.13214,0.17859,0.25839,0.18973,0.17857,0.20973,0.24546,0.23619,0.26286,0.27254,0.27735,0.27153
2000-02-28,0.13,0.19583,0.21886,0.16024,0.13786,0.17674,0.25696,0.18965,0.17929,0.2088,0.24454,0.23586,0.26357,0.27294,0.27726,0.27112
2000-02-29,0.125,0.19087,0.21916,0.16019,0.135,0.17494,0.25545,0.18958,0.175,0.20786,0.24357,0.23554,0.26071,0.27331,0.27714,0.27074
2000-03-01,0.12571,0.18606,0.21948,0.16016,0.135,0.1731,0.25391,0.18955,0.175,0.20689,0.24261,0.23526,0.26071,0.27364,0.27703,0.27039
2000-03-02,0.125,0.18043,0.21979,0.16015,0.13429,0.17097,0.25235,0.18953,0.17429,0.20576,0.24163,0.23502,0.26071,0.27381,0.27691,0.27009
2000-03-03,0.12429,0.17254,0.22009,0.16018,0.13357,0.168,0.25078,0.18954,0.17286,0.20429,0.24064,0.23485,0.26071,0.27376,0.27679,0.26985
2000-03-06,0.12357,0.16449,0.22039,0.16023,0.13357,0.16506,0.2492,0.18958,0.17286,0.20281,0.23964,0.23475,0.26071,0.27373,0.27668,0.26971
2000-03-07,0.12357,0.15629,0.22069,0.1603,0.13286,0.16199,0.2476,0.18964,0.17286,0.20129,0.23865,0.23471,0.26071,0.27364,0.27656,0.26965
2000-03-08,0.12357,0.147,0.22099,0.16038,0.13286,0.15867,0.24599,0.18972,0.17286,0.19966,0.23766,0.2347,0.26071,0.27347,0.27644,0.26965
2000-03-09,0.12357,0.13331,0.22129,0.16047,0.13286,0.1544,0.24439,0.1898,0.17286,0.19747,0.23668,0.23474,0.26071,0.2727,0.27633,0.26969
2000-03-10,0.125,0.11843,0.2216,0.16056,0.13286,0.14991,0.24278,0.1899,0.17357,0.19509,0.2357,0.23479,0.26214,0.27181,0.27623,0.26976
