Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200),12_month_rolling_mean
2005-06-06,4.11,4.11,4.11,4.11,,,,
2005-06-10,3.759,3.759,3.759,3.759,,,,
2005-06-13,3.756,3.756,3.756,3.756,,,,
2005-06-16,3.581,3.581,3.581,3.581,,,,
2005-06-17,3.585,3.585,3.585,3.585,,,,
2005-06-20,3.593,3.593,3.593,3.593,,,,
2005-06-21,3.71,3.71,3.71,3.71,,,,
2005-06-22,3.592,3.592,3.592,3.592,,,,
2005-06-24,3.586,3.586,3.586,3.586,,,,
2005-06-27,3.592,3.592,3.592,3.592,,,,
2005-06-29,3.586,3.586,3.586,3.586,,,,
2005-06-30,3.592,3.592,3.592,3.592,,,,3.670166666666667
2005-07-04,3.597,3.597,3.597,3.597,,,,3.627416666666667
2005-07-05,3.594,3.594,3.594,3.594,,,,3.6136666666666666
2005-07-06,3.573,3.573,3.573,3.573,,,,3.5984166666666666
2005-07-07,3.505,3.505,3.505,3.505,,,,3.592083333333333
2005-07-08,3.524,3.524,3.524,3.524,,,,3.587
2005-07-12,3.524,3.524,3.524,3.524,,,,3.5812500000000003
2005-07-13,3.477,3.477,3.477,3.477,,,,3.561833333333333
2005-07-18,3.481,3.481,3.481,3.481,,,,3.552583333333333
2005-07-19,3.476,3.476,3.476,3.476,,,,3.543416666666667
2005-07-20,3.475,3.475,3.475,3.475,,,,3.533666666666667
2005-07-21,3.487,3.487,3.487,3.487,,,,3.5254166666666666
2005-07-25,3.474,3.474,3.474,3.474,,,,3.5155833333333333
2005-07-26,3.474,3.474,3.474,3.474,,,,3.505333333333333
2005-07-27,3.462,3.462,3.462,3.462,,,,3.4943333333333335
2005-08-05,3.318,3.318,3.318,3.318,,,,3.4730833333333333
2005-08-08,3.435,3.435,3.435,3.435,,,,3.46725
2005-08-12,3.259,3.259,3.259,3.259,,,,3.4451666666666667
2005-08-18,3.339,3.339,3.339,3.339,,,,3.42975
2005-08-19,3.338,3.338,3.338,3.338,,,,3.4181666666666666
2005-08-23,3.611,3.611,3.611,3.611,,,,3.4290000000000003
2005-09-08,3.308,3.308,3.308,3.308,,,,3.4150000000000005
2006-04-03,2.826,2.826,2.826,2.826,,,,3.3609166666666668
2006-04-04,2.854,2.854,2.854,2.854,,,,3.3081666666666667
2006-04-05,2.868,2.868,2.868,2.868,,,,3.2576666666666667
2006-04-06,2.869,2.869,2.869,2.869,,,,3.2072499999999997
2006-04-07,2.875,2.875,2.875,2.875,,,,3.158333333333333
2006-04-10,2.861,2.861,2.861,2.861,,,,3.1202500000000004
2006-04-11,2.861,2.861,2.861,2.861,,,,3.072416666666667
2006-04-12,2.865,2.865,2.865,2.865,,,,3.0395833333333333
2006-04-13,2.861,2.861,2.861,2.861,,,,2.99975
2006-04-14,2.86,2.86,2.86,2.86,,,,2.959916666666667
2006-04-17,2.88,2.88,2.88,2.88,,,,2.8990000000000005
2006-04-18,2.907,2.907,2.907,2.907,,,,2.8655833333333334
2006-04-19,2.925,2.925,2.925,2.925,,,,2.8738333333333337
2006-04-20,2.928,2.928,2.928,2.928,,,,2.8800000000000003
2006-04-21,2.96,2.96,2.96,2.96,,,,2.8876666666666666
2006-04-24,2.914,2.914,2.914,2.914,,,,2.8914166666666667
2006-04-25,2.979,2.979,2.979,2.979,3.317,,,2.9000833333333333
2006-04-26,2.964,2.964,2.964,2.964,3.294,,,2.9086666666666665
2006-04-27,2.961,2.961,2.961,2.961,3.278,,,2.9170000000000003
2006-04-28,2.971,2.971,2.971,2.971,3.263,,,2.9258333333333333
2006-05-08,2.984,2.984,2.984,2.984,3.251,,,2.936083333333334
2006-05-09,2.965,2.965,2.965,2.965,3.238,,,2.9448333333333334
2006-05-10,2.995,2.995,2.995,2.995,3.226,,,2.954416666666667
2006-05-11,2.968,2.968,2.968,2.968,3.212,,,2.9595
2006-05-12,2.995,2.995,2.995,2.995,3.2,,,2.9653333333333336
