Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200)
2000-01-04,1.655,1.72,1.655,1.738,1.803,1.809,1.725
2000-01-05,1.725,1.725,1.68,1.699,1.8,1.808,1.724
2000-01-06,1.705,1.72,1.68,1.685,1.795,1.807,1.724
2000-01-07,1.685,1.715,1.685,1.719,1.791,1.805,1.723
2000-01-11,1.735,1.74,1.71,1.714,1.787,1.804,1.722
2000-01-12,1.715,1.735,1.71,1.738,1.784,1.803,1.721
2000-01-13,1.72,1.795,1.715,1.817,1.783,1.802,1.721
2000-01-14,1.745,1.78,1.74,1.8,1.782,1.802,1.721
2000-01-17,1.725,1.78,1.725,1.8,1.781,1.8,1.721
2000-01-18,1.775,1.775,1.745,1.765,1.78,1.799,1.72
2000-01-19,1.735,1.76,1.735,1.775,1.78,1.798,1.72
2000-01-20,1.75,1.79,1.75,1.8,1.78,1.797,1.72
2000-01-21,1.77,1.77,1.74,1.759,1.78,1.795,1.719
2000-01-24,1.735,1.735,1.655,1.68,1.779,1.792,1.719
2000-01-25,1.64,1.66,1.635,1.633,1.775,1.789,1.718
2000-01-26,1.635,1.66,1.635,1.651,1.772,1.785,1.718
2000-01-27,1.65,1.665,1.645,1.652,1.769,1.782,1.717
2000-01-28,1.66,1.67,1.62,1.68,1.767,1.779,1.717
2000-01-31,1.66,1.715,1.66,1.735,1.767,1.777,1.717
2000-02-01,1.705,1.75,1.705,1.77,1.766,1.776,1.717
2000-02-02,1.76,1.835,1.76,1.854,1.766,1.775,1.718
2000-02-03,1.81,1.855,1.81,1.869,1.766,1.775,1.72
2000-02-04,1.83,1.855,1.82,1.834,1.765,1.776,1.721
2000-02-07,1.83,1.85,1.82,1.87,1.765,1.776,1.722
2000-02-08,1.885,1.9,1.865,1.919,1.765,1.777,1.724
2000-02-09,1.88,1.89,1.86,1.894,1.765,1.777,1.725
2000-02-10,1.87,1.87,1.84,1.867,1.765,1.778,1.726
2000-02-14,1.835,1.835,1.81,1.835,1.764,1.778,1.728
2000-02-15,1.805,1.815,1.805,1.809,1.764,1.779,1.729
2000-02-16,1.82,1.82,1.79,1.802,1.763,1.781,1.731
2000-02-17,1.8,1.85,1.8,1.858,1.764,1.782,1.732
