Date,GACGB3M_Close,GACGB2_Close,GACGB5_Close,GACGB10_Close,GACGB30_Close
1/4/2000,,6.375,6.81,7.068,
1/5/2000,,6.465,6.908,7.163,
1/6/2000,,6.403,6.865,7.1,
1/7/2000,,6.425,6.88,7.13,
1/10/2000,,6.525,6.975,7.158,
1/11/2000,,6.63,7.075,7.255,
1/12/2000,,6.59,7.06,7.26,
1/13/2000,,6.47,6.93,7.17,
1/14/2000,,6.56,7.02,7.233,
1/17/2000,,6.575,7.033,7.253,
1/18/2000,,6.63,7.098,7.293,
1/19/2000,,6.54,7.028,7.265,
1/20/2000,,6.84,7.11,7.305,
1/21/2000,,6.565,7.05,7.275,
1/24/2000,,6.565,7.045,7.258,
1/25/2000,,6.563,7.043,7.227,
1/27/2000,,6.82,7.06,7.185,
1/28/2000,,6.47,6.955,7.132,
1/31/2000,,6.505,6.995,7.225,
2/1/2000,,6.45,6.945,7.15,
2/2/2000,,6.62,7.05,7.118,
2/3/2000,,6.605,7.015,6.985,
2/4/2000,,6.625,7,7.083,
2/7/2000,,6.675,7.075,7.188,
2/8/2000,,6.575,6.993,7.135,
2/9/2000,,6.545,6.98,7.133,
2/10/2000,,6.5,6.955,7.113,
2/11/2000,,6.539,6.992,7.124,
2/14/2000,,6.493,6.948,7.085,
2/15/2000,,6.515,6.945,7.058,
2/16/2000,,6.563,7.01,7.078,
2/17/2000,,6.578,7.02,7.048,
2/18/2000,,6.535,6.955,7.005,
2/21/2000,,6.495,6.865,6.843,
2/22/2000,,6.31,6.69,6.705,
2/23/2000,,6.46,6.83,6.795,
2/24/2000,,6.343,6.72,6.71,
2/25/2000,,6.21,6.555,6.595,
2/28/2000,,6.285,6.65,6.688,
2/29/2000,,6.243,6.615,6.665,
3/1/2000,,6.108,6.515,6.55,
3/2/2000,,6.155,6.59,6.665,
3/3/2000,,6.115,6.575,6.605,
3/6/2000,,6.42,6.76,6.755,
3/7/2000,,6.43,6.785,6.685,
3/8/2000,,6.37,6.705,6.715,
3/9/2000,,6.39,6.74,6.745,
3/10/2000,,6.41,6.76,6.63,
3/13/2000,,6.34,6.705,6.74,
3/14/2000,,6.2,6.57,6.64,
3/15/2000,,6.183,6.51,6.566,
3/16/2000,,6.163,6.485,6.51,
3/17/2000,,6.215,6.5,6.53,
3/20/2000,,6.265,6.535,6.5,
3/21/2000,,6.105,6.355,6.325,
3/22/2000,,6.22,6.435,6.388,
3/23/2000,,6.3,6.51,6.405,
3/24/2000,,6.47,6.635,6.505,
3/27/2000,,6.453,6.642,6.57,
3/28/2000,,6.408,6.59,6.521,
3/29/2000,,6.43,6.613,6.553,
3/30/2000,,6.435,6.6,6.559,
3/31/2000,,6.268,6.428,6.379,
4/3/2000,,6.3,6.43,6.358,
4/4/2000,,6.308,6.435,6.34,
4/5/2000,,6.248,6.365,6.288,
4/6/2000,,6.213,6.348,6.283,
4/7/2000,,6.273,6.403,6.342,
4/10/2000,,6.23,6.33,6.231,
4/11/2000,,6.183,6.255,6.142,
4/12/2000,,6.198,6.308,6.235,
4/13/2000,,6.148,6.305,6.268,
4/14/2000,,6.05,6.22,6.191,
4/17/2000,,5.933,6.09,6.098,
4/18/2000,,6.013,6.178,6.187,
4/19/2000,,6.028,6.215,6.273,
4/20/2000,,6.08,6.275,6.299,
4/26/2000,,6.173,6.383,6.398,
4/27/2000,,6.25,6.435,6.408,
4/28/2000,,6.325,6.483,6.408,
5/1/2000,,6.435,6.56,6.476,
5/2/2000,,6.395,6.557,6.499,
5/3/2000,,6.385,6.56,6.552,
5/4/2000,,6.368,6.578,6.607,
5/5/2000,,6.333,6.548,6.582,
5/8/2000,,6.32,6.535,6.575,
5/9/2000,,6.365,6.56,6.568,
5/10/2000,,6.325,6.535,6.55,
5/11/2000,,6.25,6.445,6.433,
5/12/2000,,6.258,6.44,6.467,
5/15/2000,,6.33,6.515,6.535,
5/16/2000,,6.303,6.46,6.448,
5/17/2000,,6.378,6.515,6.467,
5/18/2000,,6.44,6.58,6.553,
5/19/2000,,6.423,6.61,6.612,
5/22/2000,,6.303,6.51,6.547,
5/23/2000,,6.227,6.418,6.5,
5/24/2000,,6.22,6.393,6.447,
5/25/2000,,6.243,6.423,6.477,
5/26/2000,,6.155,6.315,6.35,
5/29/2000,,6.068,6.225,6.247,
5/30/2000,,6.102,6.265,6.303,
5/31/2000,,6.098,6.26,6.287,
6/1/2000,,6,6.133,6.146,
6/2/2000,,5.977,6.088,6.082,
6/5/2000,,5.96,6.12,6.158,
