Date,GCNY3M_Close,GCNY2YR_Close,GCNY5YR_Close,GCNY10YR_Close,GCNY30YR_Close
6/6/2005,,,,4.11,
6/8/2005,,1.954,3.249,,
6/9/2005,,1.895,3.251,,
6/10/2005,,1.833,3.256,3.759,
6/13/2005,,1.797,3.18,3.756,
6/14/2005,,1.839,3.116,,
6/16/2005,,1.671,3.09,3.581,
6/17/2005,,1.563,3.073,3.585,
6/20/2005,,1.593,3.035,3.593,
6/21/2005,,,3.08,3.71,
6/22/2005,,1.598,,3.592,
6/23/2005,,,3.004,,
6/24/2005,,1.654,3.042,3.586,
6/27/2005,,1.701,3.036,3.592,
6/28/2005,,1.735,,,
6/29/2005,,1.673,3.061,3.586,
6/30/2005,,1.753,3.038,3.592,
7/1/2005,,1.751,3.052,,
7/4/2005,,1.822,3.067,3.597,
7/5/2005,,1.836,3.078,3.594,
7/6/2005,,1.832,3.036,3.573,
7/7/2005,,2.014,2.989,3.505,
7/8/2005,,1.689,2.964,3.524,
7/11/2005,,1.793,2.895,,
7/12/2005,,1.689,2.964,3.524,
7/13/2005,,1.667,2.887,3.477,
7/14/2005,,1.624,2.819,,
7/15/2005,,1.587,2.758,,
7/18/2005,,1.628,2.763,3.481,
7/19/2005,,1.725,2.764,3.476,
7/20/2005,,1.603,2.766,3.475,
7/21/2005,,1.586,2.762,3.487,
7/22/2005,,1.594,2.747,,
7/25/2005,,1.611,2.804,3.474,
7/26/2005,,1.613,2.766,3.474,
7/27/2005,,1.834,2.643,3.462,
7/28/2005,,1.785,2.63,,
7/29/2005,,1.707,2.72,,
8/1/2005,,1.651,2.656,,
8/2/2005,,1.603,2.674,,
8/3/2005,,1.694,,,
8/4/2005,,1.689,2.598,,
8/5/2005,,1.682,2.639,3.318,
8/8/2005,,1.671,2.7,3.435,
8/10/2005,,1.693,2.663,,
8/12/2005,,1.665,2.709,3.259,
8/15/2005,,1.688,2.703,,
8/18/2005,,1.642,2.716,3.339,
8/19/2005,,1.658,,3.338,
8/23/2005,,1.639,,3.611,
8/24/2005,,1.661,2.653,,
8/25/2005,,1.663,2.646,,
8/26/2005,,1.652,,,
8/29/2005,,,2.645,,
8/30/2005,,1.644,2.673,,
