Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200)
2000-01-04,6.375,6.375,6.375,6.375,6.0137,5.7759,5.4034
2000-01-05,6.465,6.465,6.465,6.465,6.0216,5.7852,5.4112
2000-01-06,6.403,6.403,6.403,6.403,6.0283,5.7937,5.4184
2000-01-07,6.425,6.425,6.425,6.425,6.0343,5.8034,5.4257
2000-01-10,6.525,6.525,6.525,6.525,6.0407,5.8145,5.4337
2000-01-11,6.63,6.63,6.63,6.63,6.0528,5.8272,5.4428
2000-01-12,6.59,6.59,6.59,6.59,6.0663,5.8391,5.4514
2000-01-13,6.47,6.47,6.47,6.47,6.0761,5.8497,5.4594
2000-01-14,6.56,6.56,6.56,6.56,6.0893,5.8612,5.4677
2000-01-17,6.575,6.575,6.575,6.575,6.1009,5.8731,5.4763
2000-01-18,6.63,6.63,6.63,6.63,6.1158,5.8857,5.485
2000-01-19,6.54,6.54,6.54,6.54,6.1286,5.8985,5.4935
2000-01-20,6.84,6.84,6.84,6.84,6.1468,5.9134,5.5041
2000-01-21,6.565,6.565,6.565,6.565,6.1595,5.9247,5.5133
2000-01-24,6.565,6.565,6.565,6.565,6.1724,5.936,5.5228
2000-01-25,6.563,6.563,6.563,6.563,6.1843,5.9469,5.532
2000-01-27,6.528,6.528,6.528,6.82,6.2031,5.9603,5.5428
2000-01-28,6.56,6.825,6.4,6.47,6.2169,5.9699,5.5519
2000-01-31,6.75,6.78,6.48,6.505,6.231,5.981,5.5608
2000-02-01,6.49,6.775,6.455,6.45,6.2441,5.9911,5.5697
2000-02-02,6.435,6.685,6.418,6.62,6.2585,6.0023,5.5789
2000-02-03,6.61,6.7,6.608,6.605,6.2719,6.0128,5.5884
2000-02-04,6.59,6.655,6.575,6.625,6.2857,6.0231,5.5979
2000-02-07,6.63,6.645,6.585,6.675,6.2991,6.0346,5.6076
2000-02-08,6.665,6.67,6.603,6.575,6.3113,6.0448,5.6164
2000-02-09,6.565,6.575,6.49,6.545,6.3229,6.0542,5.6252
2000-02-10,6.53,6.542,6.423,6.5,6.3336,6.0637,5.6342
2000-02-11,6.515,6.553,6.505,6.539,6.3449,6.0745,5.6427
2000-02-14,6.48,6.535,6.455,6.493,6.3553,6.0842,5.651
2000-02-15,6.478,6.493,6.445,6.515,6.3662,6.0943,5.6586
2000-02-16,6.5,6.56,6.495,6.563,6.3781,6.1048,5.6665
2000-02-17,6.548,6.553,6.513,6.578,6.3899,6.1158,5.6745
2000-02-18,6.563,6.583,6.555,6.535,6.4026,6.1278,5.6818
2000-02-21,6.49,6.502,6.425,6.495,6.4154,6.1407,5.689
2000-02-22,6.48,6.48,6.345,6.31,6.4241,6.151,5.6949
2000-02-23,6.305,6.388,6.305,6.46,6.4358,6.1622,5.7017
2000-02-24,6.435,6.45,6.337,6.343,6.4446,6.172,5.708
2000-02-25,6.315,6.338,6.138,6.21,6.4497,6.1798,5.7133
2000-02-28,6.19,6.25,6.135,6.285,6.4566,6.1869,5.7194
2000-02-29,6.273,6.278,6.223,6.243,6.4595,6.1929,5.7242
2000-03-01,6.233,6.245,5.995,6.108,6.4576,6.1967,5.7287
2000-03-02,6.093,6.175,6.065,6.155,6.4519,6.2011,5.7335
2000-03-03,6.15,6.173,6.123,6.115,6.4507,6.2053,5.7382
2000-03-06,6.13,6.208,6.123,6.42,6.4553,6.2123,5.7445
