Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200),12_month_rolling_mean
2016-08-02,3.35,3.35,3.35,3.35,,,,
2016-08-03,3.346,3.346,3.346,3.346,,,,
2016-08-04,3.346,3.346,3.346,3.346,,,,
2016-08-05,3.325,3.325,3.325,3.325,,,,
2016-08-08,3.325,3.325,3.325,3.325,,,,
2016-08-09,3.274,3.274,3.274,3.274,,,,
2016-08-10,3.263,3.263,3.263,3.263,,,,
2016-08-11,3.26,3.26,3.26,3.26,,,,
2016-08-12,3.201,3.201,3.201,3.201,,,,
2016-08-15,3.186,3.186,3.186,3.186,,,,
2016-08-16,3.198,3.198,3.198,3.198,,,,
2016-08-17,3.231,3.231,3.231,3.231,,,,3.2754166666666666
2016-08-18,3.224,3.224,3.224,3.224,,,,3.2649166666666667
2016-08-19,3.274,3.274,3.274,3.274,,,,3.2589166666666665
2016-08-22,3.245,3.245,3.245,3.245,,,,3.2505
2016-08-23,3.306,3.306,3.306,3.306,,,,3.2489166666666667
2016-08-24,3.319,3.319,3.319,3.319,,,,3.248416666666667
2016-08-25,3.309,3.309,3.309,3.309,,,,3.251333333333333
2016-08-26,3.27,3.27,3.27,3.27,,,,3.251916666666667
2016-08-29,3.299,3.299,3.299,3.299,,,,3.255166666666667
2016-08-30,3.328,3.328,3.328,3.328,,,,3.26575
2016-08-31,3.332,3.332,3.332,3.332,,,,3.2779166666666666
2016-09-01,3.316,3.316,3.316,3.316,,,,3.2877500000000004
2016-09-02,3.321,3.321,3.321,3.321,,,,3.29525
2016-09-05,3.329,3.329,3.329,3.329,,,,3.304
2016-09-06,3.363,3.363,3.363,3.363,,,,3.3114166666666667
2016-09-07,3.366,3.366,3.366,3.366,,,,3.3215
2016-09-08,3.346,3.346,3.346,3.346,,,,3.3248333333333338
2016-09-09,3.344,3.344,3.344,3.344,,,,3.326916666666667
2016-09-12,3.351,3.351,3.351,3.351,,,,3.330416666666667
2016-09-13,3.315,3.315,3.315,3.315,,,,3.3341666666666665
2016-09-14,3.303,3.303,3.303,3.303,,,,3.3345
2016-09-19,3.298,3.298,3.298,3.298,,,,3.3320000000000003
2016-09-20,3.29,3.29,3.29,3.29,,,,3.3285
2016-09-21,3.31,3.31,3.31,3.31,,,,3.328
2016-09-22,3.287,3.287,3.287,3.287,,,,3.3251666666666666
2016-09-23,3.253,3.253,3.253,3.253,,,,3.3188333333333335
2016-09-26,3.229,3.229,3.229,3.229,,,,3.3076666666666665
2016-09-27,3.25,3.25,3.25,3.25,,,,3.298
2016-09-28,3.228,3.228,3.228,3.228,,,,3.2881666666666667
2016-09-29,3.217,3.217,3.217,3.217,,,,3.277583333333333
2016-09-30,3.195,3.195,3.195,3.195,,,,3.264583333333333
2016-10-10,3.158,3.158,3.158,3.158,,,,3.2515
2016-10-11,3.17,3.17,3.17,3.17,,,,3.240416666666667
2016-10-12,3.192,3.192,3.192,3.192,,,,3.2315833333333335
2016-10-13,3.179,3.179,3.179,3.179,,,,3.2223333333333333
2016-10-14,3.171,3.171,3.171,3.171,,,,3.2107499999999995
2016-10-17,3.172,3.172,3.172,3.172,,,,3.201166666666667
2016-10-18,3.157,3.157,3.157,3.157,,,,3.1931666666666665
2016-10-19,3.149,3.149,3.149,3.149,3.269,,,3.1865
2016-10-20,3.104,3.104,3.104,3.104,3.264,,,3.1743333333333332
2016-10-21,3.09,3.09,3.09,3.09,3.259,,,3.1628333333333334
2016-10-24,3.121,3.121,3.121,3.121,3.255,,,3.154833333333334
2016-10-25,3.114,3.114,3.114,3.114,3.251,,,3.1480833333333336
2016-10-26,3.17,3.17,3.17,3.17,3.248,,,3.1490833333333335
2016-10-27,3.12,3.12,3.12,3.12,3.244,,,3.1449166666666666
2016-10-28,3.117,3.117,3.117,3.117,3.242,,,3.138666666666666
2016-10-31,3.153,3.153,3.153,3.153,3.239,,,3.1365000000000003
2016-11-01,3.154,3.154,3.154,3.154,3.238,,,3.1350833333333337
2016-11-02,3.159,3.159,3.159,3.159,3.238,,,3.134
2016-11-03,3.156,3.156,3.156,3.156,3.237,,,3.1339166666666665
2016-11-04,3.158,3.158,3.158,3.158,3.236,,,3.1346666666666665
2016-11-07,3.182,3.182,3.182,3.182,3.235,,,3.141166666666667
2016-11-08,3.185,3.185,3.185,3.185,3.233,,,3.1490833333333335
2016-11-09,3.196,3.196,3.196,3.196,3.232,,,3.155333333333333
2016-11-10,3.22,3.22,3.22,3.22,3.23,,,3.1641666666666666
2016-11-11,3.262,3.262,3.262,3.262,3.229,,,3.1718333333333333
2016-11-14,3.313,3.313,3.313,3.313,3.229,,,3.1879166666666667
2016-11-15,3.318,3.318,3.318,3.318,3.23,,,3.2046666666666668
2016-11-16,3.361,3.361,3.361,3.361,3.231,,,3.222
