Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200),12_month_rolling_mean
2011-02-09,3.0,3.0,3.0,3.0,,,,
2011-02-10,2.98,2.98,2.98,2.98,,,,
2011-02-11,2.99,2.99,2.99,2.99,,,,
2011-02-14,2.86,2.86,2.86,2.86,,,,
2011-02-15,2.79,2.79,2.79,2.79,,,,
2011-02-16,2.81,2.81,2.81,2.81,,,,
2011-02-17,2.8,2.8,2.8,2.8,,,,
2011-02-18,2.84,2.84,2.84,2.84,,,,
2011-02-21,2.8,2.8,2.8,2.8,,,,
2011-02-22,2.8,2.8,2.8,2.8,,,,
2011-02-24,2.76,2.76,2.76,2.76,,,,
2011-02-25,2.76,2.76,2.76,2.76,,,,2.8491666666666666
2011-03-01,2.69,2.69,2.69,2.69,,,,2.823333333333333
2011-03-02,2.7,2.7,2.7,2.7,,,,2.8000000000000003
2011-03-03,2.71,2.71,2.71,2.71,,,,2.776666666666667
2011-03-04,2.75,2.75,2.75,2.75,,,,2.7675
2011-03-07,2.72,2.72,2.72,2.72,,,,2.7616666666666667
2011-03-08,2.72,2.72,2.72,2.72,,,,2.7541666666666664
2011-03-09,2.74,2.74,2.74,2.74,,,,2.749166666666667
2011-03-10,2.68,2.68,2.68,2.68,,,,2.7358333333333333
2011-03-11,2.67,2.67,2.67,2.67,,,,2.7249999999999996
2011-03-14,2.61,2.61,2.61,2.61,,,,2.709166666666667
2011-03-15,2.65,2.65,2.65,2.65,,,,2.6999999999999997
2011-03-16,2.68,2.68,2.68,2.68,,,,2.6933333333333334
2011-03-17,2.65,2.65,2.65,2.65,,,,2.69
2011-03-18,2.66,2.66,2.66,2.66,,,,2.686666666666667
2011-03-21,2.68,2.68,2.68,2.68,,,,2.6841666666666666
2011-03-22,2.69,2.69,2.69,2.69,,,,2.6791666666666667
2011-03-23,2.62,2.62,2.62,2.62,,,,2.670833333333334
2011-03-24,2.63,2.63,2.63,2.63,,,,2.6633333333333336
2011-03-25,2.63,2.63,2.63,2.63,,,,2.654166666666667
2011-03-28,2.6,2.6,2.6,2.6,,,,2.6475000000000004
2011-03-29,2.68,2.68,2.68,2.68,,,,2.6483333333333334
2011-03-30,2.64,2.64,2.64,2.64,,,,2.6508333333333334
2011-03-31,2.66,2.66,2.66,2.66,,,,2.651666666666667
2011-04-01,2.63,2.63,2.63,2.63,,,,2.6475000000000004
2011-04-06,2.66,2.66,2.66,2.66,,,,2.6483333333333334
2011-04-07,2.66,2.66,2.66,2.66,,,,2.6483333333333334
2011-04-08,2.65,2.65,2.65,2.65,,,,2.6458333333333335
2011-04-11,2.65,2.65,2.65,2.65,,,,2.6425
2011-04-12,2.66,2.66,2.66,2.66,,,,2.6458333333333335
2011-04-13,2.69,2.69,2.69,2.69,,,,2.6508333333333334
2011-04-14,2.64,2.64,2.64,2.64,,,,2.651666666666667
2011-04-15,2.63,2.63,2.63,2.63,,,,2.6541666666666663
2011-04-18,2.61,2.61,2.61,2.61,,,,2.648333333333333
2011-04-19,2.63,2.63,2.63,2.63,,,,2.6475000000000004
2011-04-20,2.63,2.63,2.63,2.63,,,,2.645
2011-04-21,2.61,2.61,2.61,2.61,,,,2.643333333333333
2011-04-22,2.63,2.63,2.63,2.63,,,,2.640833333333333
2011-04-25,2.67,2.67,2.67,2.67,2.706,,,2.6416666666666666
2011-04-26,2.65,2.65,2.65,2.65,2.699,,,2.6416666666666666
2011-04-27,2.65,2.65,2.65,2.65,2.692,,,2.641666666666666
2011-04-28,2.65,2.65,2.65,2.65,2.686,,,2.6408333333333336
2011-04-29,2.65,2.65,2.65,2.65,2.681,,,2.6374999999999997
2011-05-03,2.63,2.63,2.63,2.63,2.678,,,2.6366666666666667
2011-05-04,2.63,2.63,2.63,2.63,2.675,,,2.6366666666666667
2011-05-05,2.62,2.62,2.62,2.62,2.671,,,2.6374999999999997
2011-05-06,2.63,2.63,2.63,2.63,2.667,,,2.6374999999999997
2011-05-09,2.62,2.62,2.62,2.62,2.663,,,2.6366666666666667
2011-05-10,2.63,2.63,2.63,2.63,2.66,,,2.638333333333333
