Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200)
2000-01-04,2.44,2.44,2.44,2.459,2.607,,
2000-01-05,2.415,2.415,2.415,2.434,2.602,,
2000-01-06,2.39,2.39,2.39,2.408,2.595,,
2000-01-07,2.415,2.415,2.415,2.437,2.589,,
2000-01-11,2.4,2.4,2.4,2.422,2.583,,
2000-01-12,2.4,2.4,2.4,2.421,2.577,,
2000-01-13,2.39,2.39,2.39,2.412,2.572,,
2000-01-14,2.385,2.385,2.385,2.407,2.566,,
2000-01-17,2.405,2.405,2.405,2.425,2.562,,
2000-01-18,2.4,2.4,2.4,2.418,2.557,,
2000-01-19,2.405,2.405,2.405,2.423,2.554,,
2000-01-20,2.41,2.41,2.41,2.429,2.55,,
2000-01-21,2.36,2.36,2.36,2.377,2.546,,
2000-01-24,2.255,2.255,2.255,2.272,2.539,,
2000-01-25,2.24,2.24,2.24,2.259,2.532,,
2000-01-26,2.255,2.255,2.255,2.274,2.524,,
2000-01-27,2.26,2.26,2.26,2.28,2.517,,
2000-01-28,2.23,2.23,2.23,2.248,2.51,,
2000-01-31,2.275,2.275,2.275,2.296,2.504,,
2000-02-01,2.31,2.31,2.31,2.33,2.498,2.592,
2000-02-02,2.4,2.4,2.4,2.42,2.492,2.587,
2000-02-03,2.4,2.4,2.4,2.404,2.486,2.583,
2000-02-04,2.35,2.35,2.35,2.369,2.479,2.578,
2000-02-07,2.4,2.4,2.4,2.421,2.473,2.574,
2000-02-08,2.46,2.46,2.46,2.481,2.468,2.57,
2000-02-09,2.415,2.415,2.415,2.446,2.463,2.566,
2000-02-10,2.38,2.38,2.38,2.401,2.457,2.561,
2000-02-14,2.365,2.365,2.365,2.366,2.452,2.557,
2000-02-15,2.31,2.31,2.31,2.312,2.445,2.553,
2000-02-16,2.29,2.29,2.29,2.293,2.439,2.549,
2000-02-17,2.32,2.32,2.32,2.325,2.433,2.545,
2000-02-18,2.275,2.275,2.275,2.286,2.427,2.541,
2000-02-21,2.27,2.27,2.27,2.273,2.42,2.537,
2000-02-22,2.335,2.335,2.335,2.336,2.415,2.533,
2000-02-23,2.32,2.32,2.32,2.322,2.41,2.53,
2000-02-24,2.34,2.34,2.34,2.347,2.406,2.527,
2000-02-25,2.365,2.365,2.365,2.369,2.402,2.525,
2000-02-28,2.325,2.325,2.325,2.329,2.398,2.522,
2000-02-29,2.34,2.34,2.34,2.344,2.393,2.52,
2000-03-01,2.295,2.295,2.295,2.298,2.388,2.516,
2000-03-02,2.215,2.215,2.215,2.217,2.381,2.513,
2000-03-03,2.185,2.185,2.185,2.195,2.373,2.509,
2000-03-06,2.175,2.175,2.175,2.173,2.366,2.505,
2000-03-07,2.175,2.175,2.175,2.177,2.36,2.5,
2000-03-08,2.13,2.13,2.13,2.134,2.353,2.494,
2000-03-09,2.165,2.165,2.165,2.172,2.347,2.489,
2000-03-10,2.3,2.3,2.3,2.302,2.343,2.485,
2000-03-13,2.29,2.29,2.29,2.291,2.341,2.481,
2000-03-14,2.29,2.29,2.29,2.292,2.338,2.477,
2000-03-15,2.295,2.295,2.295,2.299,2.336,2.474,
2000-03-16,2.32,2.32,2.32,2.324,2.334,2.471,
2000-03-17,2.31,2.31,2.31,2.313,2.331,2.467,
2000-03-21,2.34,2.34,2.34,2.342,2.33,2.463,
2000-03-22,2.315,2.315,2.315,2.317,2.328,2.458,
2000-03-23,2.315,2.315,2.315,2.317,2.326,2.454,
2000-03-24,2.34,2.34,2.34,2.342,2.324,2.45,
2000-03-27,2.37,2.37,2.37,2.373,2.323,2.447,
2000-03-28,2.35,2.35,2.35,2.353,2.322,2.444,
2000-03-29,2.325,2.325,2.325,2.327,2.32,2.441,
2000-03-30,2.245,2.245,2.245,2.251,2.317,2.437,
2000-03-31,2.205,2.205,2.205,2.21,2.313,2.433,
2000-04-03,2.225,2.225,2.225,2.229,2.309,2.429,
2000-04-04,2.205,2.205,2.205,2.208,2.305,2.425,
2000-04-05,2.175,2.175,2.175,2.178,2.303,2.421,
2000-04-06,2.135,2.135,2.135,2.139,2.301,2.416,
2000-04-07,2.1,2.1,2.1,2.105,2.298,2.411,
2000-04-10,2.075,2.075,2.075,2.079,2.293,2.405,
2000-04-11,2.075,2.075,2.075,2.081,2.29,2.4,
2000-04-12,2.13,2.13,2.13,2.134,2.287,2.395,
2000-04-13,2.16,2.16,2.16,2.163,2.284,2.391,
2000-04-14,2.125,2.125,2.125,2.133,2.278,2.385,
2000-04-17,2.03,2.03,2.03,2.034,2.27,2.378,
2000-04-18,2.045,2.045,2.045,2.045,2.264,2.372,
2000-04-19,2.035,2.035,2.035,2.042,2.256,2.365,
2000-04-20,2.075,2.075,2.075,2.079,2.248,2.358,
2000-04-21,2.105,2.105,2.105,2.108,2.242,2.352,
2000-04-24,2.105,2.105,2.105,2.107,2.236,2.347,
2000-04-25,2.105,2.105,2.105,2.104,2.23,2.341,
2000-04-26,2.09,2.09,2.09,2.092,2.226,2.336,
2000-04-27,2.1,2.1,2.1,2.01,2.22,2.33,
2000-04-28,2.16,2.16,2.16,2.07,2.215,2.324,
2000-05-01,2.16,2.16,2.16,2.162,2.213,2.32,
2000-05-02,2.175,2.175,2.175,2.178,2.211,2.316,
2000-05-08,2.18,2.18,2.18,2.181,2.208,2.311,
2000-05-09,2.15,2.15,2.15,2.151,2.204,2.307,
2000-05-10,2.155,2.155,2.155,2.158,2.201,2.303,
2000-05-11,2.12,2.12,2.12,2.122,2.196,2.299,
2000-05-12,2.14,2.14,2.14,2.143,2.192,2.295,
2000-05-15,2.145,2.145,2.145,2.146,2.188,2.29,
2000-05-16,2.2,2.2,2.2,2.205,2.186,2.287,
2000-05-17,2.35,2.35,2.35,2.354,2.189,2.285,
2000-05-18,2.32,2.32,2.32,2.323,2.191,2.282,
2000-05-19,2.34,2.34,2.34,2.345,2.195,2.281,
2000-05-22,2.32,2.32,2.32,2.307,2.197,2.279,
2000-05-23,2.325,2.325,2.325,2.329,2.201,2.277,
2000-05-24,2.265,2.265,2.265,2.114,2.2,2.273,
2000-05-25,2.25,2.25,2.25,2.254,2.199,2.271,
2000-05-26,2.215,2.215,2.215,2.218,2.198,2.269,
2000-05-29,2.195,2.195,2.195,2.2,2.196,2.267,
2000-05-30,2.19,2.19,2.19,2.194,2.194,2.265,
2000-05-31,2.16,2.16,2.16,2.165,2.191,2.262,
2000-06-01,2.16,2.16,2.16,2.164,2.188,2.26,
2000-06-02,2.17,2.17,2.17,2.18,2.184,2.257,
2000-06-05,2.25,2.25,2.25,2.253,2.183,2.255,
2000-06-06,2.25,2.25,2.25,2.286,2.183,2.254,
2000-06-07,2.25,2.25,2.25,2.257,2.181,2.252,
2000-06-08,2.23,2.23,2.23,2.239,2.178,2.251,
2000-06-09,2.2,2.2,2.2,2.204,2.175,2.249,
2000-06-12,2.21,2.21,2.21,2.207,2.173,2.246,
2000-06-13,2.17,2.17,2.17,2.179,2.171,2.244,
2000-06-14,2.19,2.19,2.19,2.19,2.171,2.242,
2000-06-15,2.17,2.17,2.17,2.17,2.17,2.239,
2000-06-16,2.14,2.14,2.14,2.144,2.168,2.237,
2000-06-19,2.15,2.15,2.15,2.153,2.168,2.236,
2000-06-20,2.17,2.17,2.17,2.18,2.169,2.235,
2000-06-21,2.23,2.23,2.23,2.228,2.171,2.234,
2000-06-22,2.23,2.23,2.23,2.229,2.174,2.234,
2000-06-23,2.19,2.19,2.19,2.194,2.177,2.233,
2000-06-26,2.2,2.2,2.2,2.201,2.178,2.232,
2000-06-27,2.22,2.22,2.22,2.222,2.179,2.231,2.412
2000-06-28,2.21,2.21,2.21,2.212,2.181,2.229,2.408
2000-06-29,2.21,2.21,2.21,2.214,2.184,2.227,2.405
2000-06-30,2.22,2.22,2.22,2.222,2.188,2.226,2.402
2000-07-03,2.25,2.25,2.25,2.254,2.192,2.224,2.399
2000-07-04,2.23,2.23,2.23,2.239,2.195,2.222,2.396
2000-07-05,2.26,2.26,2.26,2.264,2.198,2.22,2.393
2000-07-06,2.25,2.25,2.25,2.25,2.201,2.218,2.39
2000-07-07,2.29,2.29,2.29,2.29,2.205,2.218,2.387
2000-07-10,2.34,2.34,2.34,2.34,2.21,2.218,2.385
2000-07-11,2.33,2.33,2.33,2.338,2.216,2.218,2.384
2000-07-12,2.34,2.34,2.34,2.343,2.222,2.219,2.382
2000-07-13,2.29,2.29,2.29,2.287,2.224,2.219,2.38
2000-07-14,2.29,2.29,2.29,2.297,2.227,2.219,2.378
2000-07-17,2.29,2.29,2.29,2.289,2.229,2.218,2.375
2000-07-18,2.27,2.27,2.27,2.275,2.231,2.218,2.374
2000-07-19,2.29,2.29,2.29,2.297,2.234,2.217,2.372
2000-07-21,2.3,2.3,2.3,2.302,2.238,2.217,2.371
2000-07-24,2.31,2.31,2.31,2.319,2.241,2.217,2.369
2000-07-25,2.36,2.36,2.36,2.363,2.246,2.217,2.368
2000-07-26,2.35,2.35,2.35,2.358,2.249,2.217,2.367
2000-07-27,2.31,2.31,2.31,2.328,2.248,2.219,2.366
2000-07-28,2.31,2.31,2.31,2.309,2.248,2.22,2.364
2000-07-31,2.3,2.3,2.3,2.303,2.247,2.221,2.363
2000-08-01,2.28,2.28,2.28,2.293,2.247,2.222,2.361
2000-08-02,2.27,2.27,2.27,2.274,2.246,2.224,2.359
2000-08-03,2.25,2.25,2.25,2.264,2.249,2.224,2.357
2000-08-04,2.255,2.255,2.255,2.259,2.249,2.224,2.355
2000-08-07,2.27,2.27,2.27,2.274,2.25,2.224,2.353
2000-08-08,2.27,2.27,2.27,2.284,2.252,2.224,2.35
2000-08-09,2.3,2.3,2.3,2.305,2.254,2.224,2.349
2000-08-10,2.32,2.32,2.32,2.324,2.257,2.224,2.347
2000-08-11,2.29,2.29,2.29,2.294,2.26,2.224,2.345
2000-08-14,2.29,2.29,2.29,2.299,2.262,2.223,2.343
2000-08-15,2.34,2.34,2.34,2.338,2.264,2.223,2.341
2000-08-16,2.365,2.365,2.365,2.369,2.265,2.224,2.339
2000-08-17,2.37,2.37,2.37,2.372,2.268,2.224,2.337
2000-08-18,2.39,2.39,2.39,2.409,2.271,2.225,2.336
2000-08-21,2.43,2.43,2.43,2.433,2.276,2.225,2.335
2000-08-22,2.445,2.445,2.445,2.454,2.281,2.227,2.334
2000-08-23,2.49,2.49,2.49,2.493,2.287,2.229,2.333
2000-08-24,2.455,2.455,2.455,2.475,2.293,2.232,2.332
2000-08-25,2.505,2.505,2.505,2.52,2.3,2.235,2.332
2000-08-28,2.525,2.525,2.525,2.534,2.307,2.238,2.332
2000-08-29,2.55,2.55,2.55,2.562,2.316,2.242,2.331
2000-08-30,2.545,2.545,2.545,2.546,2.323,2.246,2.331
2000-08-31,2.545,2.545,2.545,2.55,2.329,2.25,2.331
2000-09-01,2.63,2.63,2.63,2.636,2.337,2.256,2.331
2000-09-04,2.615,2.615,2.615,2.618,2.346,2.261,2.331
2000-09-05,2.645,2.645,2.645,2.649,2.355,2.266,2.331
2000-09-06,2.665,2.665,2.665,2.669,2.364,2.271,2.331
