Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200)
2000-01-04,0.092,0.092,0.092,0.092,0.1034,0.0714,
2000-01-05,0.07,0.07,0.07,0.07,0.1042,0.0716,
2000-01-06,0.082,0.082,0.082,0.082,0.1056,0.0719,
2000-01-07,0.088,0.088,0.088,0.088,0.1068,0.0723,
2000-01-11,0.13,0.13,0.13,0.13,0.109,0.0732,
2000-01-12,0.13,0.13,0.13,0.13,0.111,0.0742,
2000-01-13,0.12,0.12,0.12,0.12,0.113,0.075,
2000-01-14,0.12,0.12,0.12,0.12,0.1148,0.0759,0.1266
2000-01-17,0.181,0.181,0.181,0.181,0.1178,0.0774,0.1268
2000-01-18,0.095,0.095,0.095,0.095,0.1188,0.0781,0.1266
2000-01-19,0.104,0.104,0.104,0.104,0.1198,0.0788,0.1265
2000-01-20,0.095,0.095,0.095,0.095,0.1208,0.0795,0.1263
2000-01-21,0.085,0.085,0.085,0.085,0.1215,0.08,0.126
2000-01-24,0.08,0.08,0.08,0.08,0.1222,0.0806,0.1258
2000-01-25,0.065,0.065,0.065,0.065,0.1223,0.081,0.1254
2000-01-26,0.072,0.072,0.072,0.072,0.1226,0.0814,0.1249
2000-01-27,0.06,0.06,0.06,0.06,0.1224,0.0817,0.1242
2000-01-28,0.066,0.066,0.066,0.066,0.1226,0.0821,0.1235
2000-01-31,0.055,0.055,0.055,0.055,0.123,0.0825,0.1225
2000-02-01,0.05,0.05,0.05,0.05,0.1232,0.0825,0.1214
2000-02-02,0.055,0.055,0.055,0.055,0.1235,0.0827,0.1205
2000-02-03,0.055,0.055,0.055,0.055,0.1238,0.0829,0.1191
2000-02-04,0.05,0.05,0.05,0.05,0.1241,0.0829,0.1177
2000-02-07,0.045,0.045,0.045,0.045,0.1242,0.0829,0.1163
2000-02-08,0.053,0.053,0.053,0.053,0.1244,0.083,0.1147
2000-02-09,0.05,0.05,0.05,0.05,0.1232,0.0829,0.1131
2000-02-10,0.04,0.04,0.04,0.04,0.1219,0.0828,0.1114
2000-02-14,0.048,0.048,0.048,0.048,0.1209,0.0828,0.1098
2000-02-15,0.04,0.04,0.04,0.04,0.1196,0.0828,0.1082
2000-02-16,0.047,0.047,0.047,0.047,0.1178,0.0828,0.1065
2000-02-17,0.05,0.05,0.05,0.05,0.1148,0.0828,0.105
2000-02-21,0.045,0.045,0.045,0.045,0.1116,0.0828,0.1037
2000-02-22,0.04,0.04,0.04,0.04,0.1084,0.0827,0.1024
2000-02-23,0.04,0.04,0.04,0.04,0.1062,0.0827,0.1012
2000-02-24,0.049,0.049,0.049,0.049,0.1039,0.0827,0.1002
