Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200)
2000-01-03,6.252,6.388,6.235,6.384,5.976,5.8334,5.5779
2000-01-04,6.379,6.405,6.269,6.299,5.9837,5.8386,5.5845
2000-01-05,6.294,6.38,6.26,6.358,5.9925,5.845,5.5912
2000-01-06,6.363,6.363,6.294,6.299,5.9995,5.8504,5.5974
2000-01-07,6.295,6.397,6.277,6.308,6.0059,5.8564,5.6041
2000-01-10,6.312,6.372,6.312,6.359,6.0143,5.8628,5.6109
2000-01-11,6.355,6.45,6.338,6.428,6.0254,5.8704,5.618
2000-01-12,6.433,6.476,6.415,6.472,6.0391,5.8788,5.6254
2000-01-13,6.467,6.485,6.381,6.394,6.0505,5.8864,5.6324
2000-01-14,6.399,6.451,6.339,6.43,6.0631,5.8947,5.6398
2000-01-18,6.426,6.478,6.409,6.465,6.0765,5.9029,5.6472
2000-01-19,6.461,6.461,6.417,6.448,6.0904,5.9114,5.6544
2000-01-20,6.435,6.487,6.426,6.492,6.1059,5.921,5.6621
2000-01-21,6.471,6.506,6.453,6.458,6.1207,5.9298,5.6699
2000-01-24,6.462,6.471,6.384,6.406,6.1338,5.9373,5.6774
2000-01-25,6.41,6.445,6.393,6.432,6.1464,5.9443,5.6853
2000-01-26,6.437,6.463,6.41,6.442,6.1599,5.9515,5.6931
2000-01-27,6.426,6.536,6.417,6.506,6.1747,5.9593,5.7011
2000-01-28,6.502,6.638,6.493,6.557,6.1892,5.9677,5.7093
2000-01-31,6.553,6.621,6.544,6.591,6.2034,5.9774,5.7176
2000-02-01,6.587,6.604,6.527,6.574,6.2172,5.9865,5.7257
2000-02-02,6.579,6.63,6.544,6.592,6.231,5.9958,5.7337
2000-02-03,6.587,6.638,6.374,6.523,6.2427,6.0042,5.7416
2000-02-04,6.528,6.622,6.485,6.618,6.2563,6.014,5.7501
2000-02-07,6.613,6.674,6.613,6.67,6.2706,6.0243,5.7585
2000-02-08,6.665,6.674,6.614,6.678,6.2846,6.0343,5.7668
2000-02-09,6.674,6.717,6.622,6.653,6.2967,6.0445,5.7749
2000-02-10,6.631,6.683,6.614,6.662,6.3096,6.055,5.7831
2000-02-11,6.658,6.684,6.614,6.645,6.3217,6.0654,5.7914
2000-02-14,6.641,6.649,6.589,6.619,6.333,6.0752,5.7993
2000-02-15,6.606,6.632,6.589,6.628,6.3461,6.085,5.8077
2000-02-16,6.624,6.65,6.589,6.611,6.3592,6.0947,5.8155
2000-02-17,6.598,6.685,6.554,6.672,6.3741,6.106,5.8235
2000-02-18,6.668,6.695,6.616,6.638,6.3876,6.117,5.8313
2000-02-22,6.625,6.625,6.511,6.551,6.3997,6.1267,5.8386
2000-02-23,6.546,6.634,6.546,6.621,6.4139,6.1365,5.8458
2000-02-24,6.617,6.617,6.475,6.521,6.4252,6.145,5.8526
2000-02-25,6.492,6.534,6.39,6.395,6.4318,6.153,5.8589
2000-02-28,6.416,6.508,6.399,6.513,6.4405,6.1611,5.8656
2000-02-29,6.5,6.559,6.491,6.521,6.4481,6.1697,5.8723
2000-03-01,6.517,6.534,6.474,6.504,6.4552,6.177,5.8793
2000-03-02,6.491,6.517,6.483,6.513,6.4617,6.1841,5.8854
2000-03-03,6.491,6.525,6.431,6.495,6.4675,6.1911,5.8915
2000-03-06,6.49,6.559,6.49,6.529,6.4739,6.1986,5.8974
2000-03-07,6.524,6.593,6.431,6.486,6.479,6.2056,5.9032
2000-03-08,6.482,6.524,6.447,6.495,6.4848,6.2121,5.909
2000-03-09,6.49,6.49,6.447,6.477,6.4901,6.218,5.915
2000-03-10,6.472,6.541,6.472,6.537,6.4969,6.2254,5.9215
2000-03-13,6.524,6.55,6.438,6.511,6.5039,6.2319,5.9278
2000-03-14,6.506,6.567,6.446,6.468,6.509,6.2376,5.9334
2000-03-15,6.455,6.506,6.429,6.494,6.5112,6.2436,5.9387
2000-03-16,6.489,6.506,6.454,6.485,6.5149,6.2493,5.9441
2000-03-17,6.471,6.523,6.463,6.485,6.5174,6.2549,5.9489
2000-03-20,6.488,6.541,6.488,6.51,6.5216,6.2606,5.9538
2000-03-21,6.506,6.523,6.462,6.502,6.5255,6.2657,5.9587
2000-03-22,6.497,6.497,6.453,6.475,6.5278,6.2711,5.9633
2000-03-23,6.462,6.523,6.401,6.501,6.5293,6.2773,5.9681
2000-03-24,6.505,6.628,6.496,6.624,6.5323,6.2857,5.9735
2000-03-27,6.619,6.663,6.61,6.615,6.5368,6.2937,5.9785
2000-03-28,6.619,6.654,6.566,6.598,6.5401,6.3016,5.9832
2000-03-29,6.584,6.628,6.566,6.589,6.5426,6.3095,5.9877
2000-03-30,6.559,6.568,6.458,6.484,6.5433,6.3169,5.9919
2000-03-31,6.483,6.534,6.457,6.479,6.5431,6.3245,5.9961
2000-04-03,6.474,6.491,6.414,6.419,6.5423,6.3315,6.0003
2000-04-04,6.414,6.474,6.093,6.308,6.5403,6.3371,6.0044
2000-04-05,6.312,6.354,6.151,6.3,6.5377,6.3421,6.0081
2000-04-06,6.295,6.397,6.295,6.393,6.5367,6.3483,6.0122
2000-04-07,6.379,6.43,6.353,6.366,6.5339,6.3543,6.0158
2000-04-10,6.361,6.379,6.25,6.263,6.528,6.3586,6.0186
2000-04-11,6.259,6.37,6.19,6.331,6.5228,6.3631,6.0217
2000-04-12,6.335,6.421,6.327,6.357,6.5185,6.3678,6.0248
2000-04-13,6.352,6.472,6.335,6.348,6.5136,6.3723,6.0282
2000-04-14,6.342,6.454,6.213,6.235,6.5078,6.3753,6.031
2000-04-17,6.256,6.351,6.204,6.316,6.5018,6.379,6.035
2000-04-18,6.342,6.359,6.281,6.329,6.495,6.3828,6.0388
2000-04-19,6.324,6.367,6.298,6.32,6.4878,6.3862,6.0425
2000-04-20,6.323,6.383,6.314,6.362,6.482,6.3893,6.0463
2000-04-24,6.357,6.392,6.296,6.388,6.4765,6.3931,6.0502
2000-04-25,6.374,6.479,6.348,6.484,6.4733,6.3975,6.0548
2000-04-26,6.479,6.514,6.453,6.501,6.4709,6.402,6.0595
2000-04-27,6.451,6.638,6.451,6.613,6.4706,6.4084,6.065
2000-04-28,6.612,6.697,6.612,6.676,6.4719,6.4156,6.0709
2000-05-01,6.664,6.723,6.664,6.719,6.4729,6.4235,6.0769
2000-05-02,6.715,6.732,6.672,6.711,6.4743,6.431,6.0828
2000-05-03,6.69,6.741,6.655,6.746,6.4782,6.439,6.0892
2000-05-04,6.733,6.776,6.69,6.754,6.4809,6.4474,6.0957
2000-05-05,6.742,6.837,6.716,6.824,6.487,6.4561,6.1028
2000-05-08,6.82,6.863,6.786,6.851,6.4961,6.4639,6.11
2000-05-09,6.855,6.881,6.821,6.843,6.5027,6.4716,6.1167
2000-05-10,6.847,6.856,6.761,6.791,6.5081,6.4781,6.1229
2000-05-11,6.778,6.839,6.744,6.809,6.5142,6.4847,6.1291
2000-05-12,6.805,6.91,6.797,6.897,6.5219,6.4918,6.1359
2000-05-15,6.893,6.893,6.841,6.845,6.5289,6.4982,6.1423
2000-05-16,6.841,6.911,6.798,6.872,6.5357,6.5048,6.1487
2000-05-17,6.877,6.929,6.85,6.899,6.544,6.5115,6.155
2000-05-18,6.886,6.93,6.868,6.908,6.5522,6.5185,6.1613
2000-05-19,6.914,6.914,6.826,6.84,6.5595,6.5248,6.1673
2000-05-22,6.835,6.844,6.756,6.814,6.565,6.531,6.1733
2000-05-23,6.809,6.853,6.783,6.788,6.5706,6.5372,6.1796
2000-05-24,6.792,6.836,6.775,6.832,6.5779,6.5434,6.1854
2000-05-25,6.786,6.846,6.676,6.71,6.5822,6.5467,6.19
2000-05-26,6.701,6.735,6.659,6.672,6.5859,6.5504,6.1945
2000-05-30,6.667,6.735,6.667,6.731,6.5908,6.5541,6.1996
2000-05-31,6.729,6.744,6.667,6.672,6.5941,6.5579,6.2041
2000-06-01,6.684,6.684,6.565,6.587,6.5958,6.5606,6.2085
2000-06-02,6.599,6.616,6.352,6.51,6.5965,6.5622,6.2125
2000-06-05,6.505,6.53,6.471,6.492,6.5963,6.5628,6.2166
2000-06-06,6.487,6.539,6.487,6.492,6.5937,6.563,6.2209
2000-06-07,6.487,6.53,6.479,6.534,6.592,6.5644,6.2254
2000-06-08,6.512,6.572,6.512,6.543,6.5909,6.5655,6.2301
2000-06-09,6.52,6.546,6.512,6.542,6.59,6.5663,6.2346
2000-06-12,6.537,6.546,6.494,6.499,6.5903,6.5668,6.2391
2000-06-13,6.502,6.52,6.442,6.481,6.5903,6.5667,6.2439
2000-06-14,6.476,6.485,6.399,6.412,6.5902,6.5662,6.248
2000-06-15,6.411,6.45,6.39,6.42,6.5924,6.5664,6.2518
2000-06-16,6.417,6.449,6.311,6.35,6.5934,6.5656,6.2549
2000-06-19,6.357,6.38,6.345,6.384,6.5933,6.565,6.2582
2000-06-20,6.379,6.422,6.37,6.427,6.5945,6.5642,6.2618
2000-06-21,6.413,6.491,6.405,6.496,6.5991,6.5636,6.2656
2000-06-22,6.482,6.5,6.456,6.487,6.6023,6.5625,6.2699
2000-06-23,6.482,6.551,6.464,6.539,6.6059,6.5622,6.2743
2000-06-26,6.537,6.542,6.472,6.486,6.6087,6.5611,6.2785
2000-06-27,6.48,6.516,6.472,6.494,6.6138,6.5608,6.2825
2000-06-28,6.489,6.533,6.437,6.459,6.6167,6.5592,6.2866
2000-06-29,6.409,6.451,6.341,6.354,6.6172,6.5561,6.2902
2000-06-30,6.366,6.375,6.332,6.362,6.618,6.5529,6.2936
2000-07-03,6.357,6.383,6.264,6.294,6.6167,6.5493,6.2969
2000-07-05,6.289,6.289,6.221,6.285,6.6146,6.5456,6.3003
2000-07-06,6.28,6.331,6.272,6.336,6.6117,6.5425,6.3039
2000-07-07,6.331,6.365,6.194,6.276,6.6072,6.5391,6.3071
2000-07-10,6.268,6.314,6.262,6.301,6.6009,6.5358,6.3104
2000-07-11,6.296,6.313,6.279,6.309,6.5936,6.5328,6.3137
2000-07-12,6.305,6.33,6.296,6.326,6.5857,6.5293,6.3177
2000-07-13,6.325,6.33,6.261,6.283,6.5772,6.5258,6.3214
2000-07-14,6.286,6.407,6.243,6.395,6.5701,6.5242,6.3255
