Date,Open,High,Low,Close,SMAVG (50),SMAVG (100),SMAVG (200)
2000-01-03,5.411,5.411,5.411,5.411,5.254,5.0539,4.8204
2000-01-04,5.441,5.462,5.389,5.447,5.2605,5.0591,4.8252
2000-01-05,5.441,5.451,5.409,5.425,5.2681,5.0647,4.8299
2000-01-06,5.419,5.429,5.377,5.383,5.2754,5.0709,4.8343
2000-01-07,5.385,5.427,5.354,5.38,5.2803,5.0776,4.8388
2000-01-10,5.374,5.562,5.343,5.39,5.2855,5.0842,4.8434
2000-01-11,5.389,5.441,5.17,5.426,5.2918,5.0903,4.848
2000-01-12,5.42,5.441,5.388,5.446,5.2989,5.097,4.8528
2000-01-13,5.429,5.45,5.377,5.403,5.3046,5.1036,4.8574
2000-01-14,5.384,5.437,5.374,5.4,5.3104,5.1093,4.862
2000-01-18,5.404,5.414,5.352,5.378,5.3162,5.1141,4.8665
2000-01-19,5.362,5.508,5.32,5.326,5.3214,5.1177,4.8711
2000-01-20,5.502,5.555,5.44,5.456,5.3282,5.1231,4.8765
2000-01-21,5.448,5.479,5.187,5.464,5.3344,5.1285,4.8818
2000-01-24,5.457,5.499,5.447,5.452,5.3397,5.1331,4.887
2000-01-25,5.525,5.577,5.462,5.562,5.347,5.1389,4.8929
2000-01-26,5.566,5.576,5.545,5.561,5.3538,5.1449,4.8989
2000-01-27,5.565,5.596,5.544,5.602,5.361,5.1515,4.9053
2000-01-28,5.573,5.709,5.542,5.62,5.3676,5.1586,4.9121
2000-01-31,5.624,5.729,5.583,5.692,5.3769,5.1664,4.9192
2000-02-01,5.724,5.745,5.671,5.708,5.3865,5.1754,4.9261
2000-02-02,5.702,5.733,5.587,5.645,5.3949,5.1838,4.9328
2000-02-03,5.607,5.68,5.544,5.612,5.4027,5.1919,4.9393
2000-02-04,5.594,5.667,5.583,5.662,5.4106,5.2012,4.9457
2000-02-07,5.645,5.76,5.614,5.619,5.4172,5.2098,4.9521
2000-02-08,5.692,5.703,5.661,5.677,5.425,5.2187,4.9586
2000-02-09,5.671,5.691,5.629,5.634,5.4311,5.2278,4.9647
2000-02-10,5.628,5.68,5.628,5.654,5.4382,5.2375,4.9707
2000-02-11,5.646,5.657,5.625,5.631,5.4454,5.2473,4.9765
2000-02-14,5.624,5.656,5.603,5.619,5.4529,5.2567,4.9827
2000-02-15,5.661,5.755,5.65,5.74,5.4628,5.2662,4.989
2000-02-16,5.671,5.744,5.587,5.728,5.4726,5.2755,4.9949
2000-02-17,5.722,5.753,5.67,5.738,5.4833,5.2847,5.0007
2000-02-18,5.666,5.781,5.666,5.745,5.4938,5.2944,5.0065
2000-02-22,5.737,5.79,5.664,5.764,5.504,5.3041,5.0123
2000-02-23,5.775,5.859,5.671,5.822,5.5149,5.3137,5.0185
2000-02-24,5.806,5.826,5.67,5.801,5.5235,5.3235,5.0245
2000-02-25,5.667,5.813,5.667,5.766,5.5312,5.3326,5.0304
2000-02-28,5.781,5.833,5.666,5.828,5.5411,5.3423,5.0367
2000-02-29,5.828,5.849,5.671,5.781,5.5489,5.3518,5.0427
